[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[01:14:45.438 --> 01:14:53.384]  By the way, that mistake was magically remedied at the end of 2020, even though they didn't know there was a mistake, and fixed in 2021.
[01:14:54.972 --> 01:15:01.696]  We're supposed to believe that these guys didn't notice this mistake, even though we have teams of people whose job it is to watch us.
[01:15:02.677 --> 01:15:09.801]  We're supposed to believe they didn't notice it until I blew the whistle, but even though they hadn't noticed it, somehow it magically got fixed.
[01:15:10.402 --> 01:15:29.813]   We've also seen that graph that we will have next segment, where it shows a hundred countries in the world, off John Hopkins UN numbers, that right when the first shot is given, illnesses explode, Uh, and then right when the second shot, it goes up even more, and then triple shots, and then Israel, most vaccinated, highest rates of hospitalization, death.
[01:15:30.093 --> 01:15:31.153]  And it just goes down the line.
[01:15:31.393 --> 01:15:33.774]  The more injections, the more death, and they call it COVID.
[01:15:34.175 --> 01:15:40.698]  And then they lie and say, oh, 90 plus percent of people in the hospital are unvaccinated, and you look the numbers up, it's not even true!
[01:15:40.758 --> 01:15:41.358]  It's incredible!
[01:15:42.783 --> 01:15:44.004]  This demonstrates it all.
[01:15:44.364 --> 01:15:46.865]  This is the best information out there.
[01:15:47.306 --> 01:15:47.866]  The best.
[01:15:48.186 --> 01:15:49.927]  There is no question what's happening.
[01:15:50.427 --> 01:16:06.296]  And you know, the next step is, along with submitting this in the courts and everywhere else, we're going to be sending this information to the leaders of the House and the Senate, and we're going to be asking them, hey, are you guys going to hold these people accountable?
[01:16:07.176 --> 01:16:08.557]  Are you going to do something with this?
[01:16:08.677 --> 01:16:11.458]  Are you going to stand with the soldiers and the American people?
[01:16:11.939 --> 01:16:17.182]  Or are you going to continue to be bought out by special interest, Big Pharma, and the billionaire crowd?
[01:16:17.682 --> 01:16:28.088]  Now, we've got all sorts of information, and I plan on asking our House and Senate leadership, hey, how much stock do you have in Big Pharma?
[01:16:28.688 --> 01:16:29.689]  How much do you own?
[01:16:30.692 --> 01:16:35.255]  By the way, your mutual funds, BlackRock, all these guys, how much do they own?
[01:16:35.295 --> 01:16:38.477]  Because having a straw man own it for you doesn't make it any better.
[01:16:39.118 --> 01:16:41.920]  So I want to know how much money these guys are making off of it.
[01:16:41.960 --> 01:16:44.221]  Now, I'm telling you, I'm going to ask.
[01:16:44.361 --> 01:16:44.862]  It's coming.
[01:16:45.042 --> 01:16:46.063]  I'm going to be asking this.
[01:16:46.503 --> 01:16:53.628]  So my advice to you elected officials, sell your stock and get on board here, because it's time for you guys to come clean.
[01:16:54.971 --> 01:16:55.491]  Absolutely.
[01:16:55.511 --> 01:16:57.052]  This house of cards is coming down.
[01:16:57.092 --> 01:16:59.113]  I don't just say that to be positive and hoping.
[01:16:59.153 --> 01:16:59.773]  It really is.
[01:17:00.173 --> 01:17:01.434]  I wonder what the hell they're thinking.
[01:17:01.794 --> 01:17:03.755]  Even Melinda Gates is running away right now.
[01:17:03.775 --> 01:17:04.375]  We'll be right back.
[01:17:04.415 --> 01:17:04.855]  Stay with us.
[01:17:06.076 --> 01:17:07.256]  You can see the statistics.
[01:17:07.276 --> 01:17:10.798]  I mean, you can watch people around you die if they take the shot.
[01:17:12.458 --> 01:17:13.079]  Got a U.S.
[01:17:13.119 --> 01:17:13.499]  Senator.
[01:17:14.839 --> 01:17:15.359]  Democrat.
[01:17:15.780 --> 01:17:16.600]  Got the article right here.
[01:17:16.660 --> 01:17:17.180]  Took the shot.
[01:17:17.200 --> 01:17:18.161]  Had a massive stroke.
[01:17:18.201 --> 01:17:18.921]  Fighting for his life.
[01:17:20.663 --> 01:17:23.985]  And here's some of the numbers from John Hopkins and UN numbers all over the world.
[01:17:24.465 --> 01:17:25.786]  This is already eight months old.
[01:17:26.186 --> 01:17:30.368]  Everywhere, after you take the shot and then they have the boosters, it just explodes.
[01:17:30.428 --> 01:17:32.950]  Hospitalizations, deaths, you name it.
[01:17:34.550 --> 01:17:40.954]  Tom Renz is one of the most important lawyers out there fighting this tyranny and just doing a great job.
[01:17:42.082 --> 01:17:46.706]  Breaking this down to members of the Senate and the House at these important committee meetings.
[01:17:47.767 --> 01:17:49.749]  And we just cannot thank him enough for what he's doing.
[01:17:49.869 --> 01:17:51.110]  And he's not BSing you.
[01:17:51.730 --> 01:17:56.094]  He's going off the facts that the House of Cards is coming down very, very quickly.
[01:17:56.374 --> 01:18:00.298]  Two weeks ago, we had the head of the UN vaccine program say, don't give it to children.
[01:18:01.090 --> 01:18:02.170]  And it can cause heart attacks.
[01:18:02.190 --> 01:18:05.251]  So they're all trying to cover their ass right now, aren't they?
[01:18:05.652 --> 01:18:09.893]  Quietly coming out, OK, we're going to put on the insert that was blank before it can kill you.
[01:18:10.153 --> 01:18:11.233]  Hey, don't give it to kids.
[01:18:11.293 --> 01:18:18.076]  But then the big companies and the corporate media that's bought off, they just keep pushing, saying it's wonderful.
[01:18:18.276 --> 01:18:19.236]  There's no side effects.
[01:18:19.296 --> 01:18:20.216]  It works perfectly.
[01:18:20.456 --> 01:18:23.758]  It totally protects you, destroying all of their credibility.
[01:18:24.058 --> 01:18:26.278]  How are they going to extricate themselves from this?
[01:18:26.698 --> 01:18:28.059]  And what do you predict coming next?
[01:18:29.540 --> 01:18:35.063]  Well, I gotta tell you, Alex, so I don't think there's a good... I don't think they have an exit plan.
[01:18:35.103 --> 01:18:36.904]  That's part of the reason there's so much panic.
[01:18:38.965 --> 01:18:46.810]  They were hoping this would quietly go away, but now with this, I mean, we're going after justice, right?
[01:18:47.655 --> 01:18:48.656]  I'm a justice guy.
[01:18:50.937 --> 01:18:51.997]  Let me tell you what they're doing.
[01:18:52.397 --> 01:19:00.421]  So you saw right before the break, you guys showed a couple of those graphs, and you saw things that looked like the same graph, but the numbers were different.
[01:19:01.041 --> 01:19:10.485]  Well, that's because once we went public with this, and they said that, oh, we just made that mistake, they went in and started doctoring the database and changing all the numbers.
[01:19:11.295 --> 01:19:18.801]  And they're trying to argue that for five years in this premier database, they were off by a thousand plus percent in some cases.
[01:19:19.261 --> 01:19:19.942]  A thousand!
[01:19:20.726 --> 01:19:24.329]  So, I mean, listen, this isn't like we made an oops.
[01:19:24.529 --> 01:19:30.614]  They're claiming that the premier database in the world that we spend millions of dollars on was off by a thousand plus percent.
[01:19:30.714 --> 01:19:33.176]  It's incredible and it's just stupid.
[01:19:34.037 --> 01:19:36.879]  They're trying to cover their tracks, but everybody knows.
[01:19:37.299 --> 01:19:41.123]  I've talked to so many veterans and current military that have been made to take it.
[01:19:41.243 --> 01:19:42.644]  It's wrecked their lives.
[01:19:43.766 --> 01:19:44.186]  Oh, yeah.
[01:19:44.647 --> 01:19:47.588]  Yeah, well, and listen, I mean, it's no wonder, right?
[01:19:48.449 --> 01:19:54.152]  For these guys, they're going to say, well, you know, it's better for us to show it as a glitch or being a little bit off.
[01:19:54.252 --> 01:20:00.156]  And, you know, maybe we wasted some money, but that's better than us going to jail for killing our soldiers.
[01:20:00.616 --> 01:20:05.859]  I mean, listen, Alex, if I point a gun at you and I shoot you in the shoulder and you die.
[01:20:07.500 --> 01:20:10.182]  And I say, well, I wasn't trying to murder you.
[01:20:10.262 --> 01:20:11.603]  I shot you in the shoulder.
[01:20:12.711 --> 01:20:14.573]  I'm still guilty of murder, right?
[01:20:16.075 --> 01:20:21.641]  If I do something that with reckless indifference towards your life and you die, that's murder.
[01:20:22.462 --> 01:20:32.213]  If these guys know, which they do, that these shots have a high and real likelihood of injury or death, they cover it up and force people to get it.
[01:20:32.834 --> 01:20:33.395]  What is that?
[01:20:34.033 --> 01:20:34.594]  What is that?
[01:20:34.674 --> 01:20:36.136]  What has Anthony Fauci done?
[01:20:36.597 --> 01:20:38.139]  What are they doing to our soldiers?
[01:20:38.740 --> 01:20:41.845]  And you know, their fear is what's going to happen.
[01:20:42.105 --> 01:20:48.796]  Because, you know, realistically, as the American people wake up, they're going to demand justice.
[01:20:49.620 --> 01:20:51.401]  And what's justice going to be?
[01:20:51.501 --> 01:20:53.541]  I mean, you know, everybody talks about Nuremberg 2.0.
[01:20:54.602 --> 01:20:56.002]  I don't know what else we could have.
[01:20:56.343 --> 01:20:58.483]  This is a global attack on humanity.
[01:20:58.963 --> 01:20:59.524]  I agree.
[01:20:59.544 --> 01:21:00.224]  Let me add this.
[01:21:00.924 --> 01:21:05.046]  All the politifaction people said it's a lie that maths don't work.
[01:21:05.126 --> 01:21:06.086]  Now it's proven it's a lie.
[01:21:06.366 --> 01:21:07.026]  They're the ones lying.
[01:21:07.407 --> 01:21:10.468]  They're all doubling down, defending and trying to cover this up.
[01:21:10.488 --> 01:21:15.048]   But it's not just the Pentagon AI database or the other Pentagon database you just mentioned.
[01:21:15.048 --> 01:21:16.407]  I've looked at the documents, you're dead on.
[01:21:16.407 --> 01:21:20.068]   Obviously, you're the one that put 'em out and got 'em from whistleblowers, great job.
[01:21:20.068 --> 01:21:25.868]   But it mirrors the numbers out of Europe and the UK and New Zealand and Australia and Canada.
[01:21:25.868 --> 01:21:29.088]  They're getting similar, 1,000% neurological increases.
[01:21:29.088 --> 01:21:32.768]  300, 400, 500% heart attack, microcarditis.
[01:21:32.768 --> 01:21:35.568]  1,000, 3,000% increases in blood clots.
[01:21:35.568 --> 01:21:41.527]   And that's just who they're, 64% in multiple studies getting with D-dimer tests
[01:21:41.527 --> 01:21:42.967]  that they're having blood clots after.
[01:21:42.967 --> 01:21:44.768]  I mean, this is real.
[01:21:44.768 --> 01:21:49.167]   I've got four or five articles of people collapsing with heart attacks
[01:21:49.167 --> 01:21:52.207]  after the shots in sports just today.
[01:21:52.207 --> 01:21:53.887]  We can't even cover it all.
[01:21:53.887 --> 01:21:59.728]   Oh, well, and Alex, I'm gonna tell you one of the real secrets that nobody's talking about
[01:21:59.728 --> 01:22:03.728]   is that we've got, remember, we've been talking about whistleblower data for months.
[01:22:03.582 --> 01:22:08.184]  We've had lots of whistleblowers, both on, now we've got on the military side, and this data is incredible.
[01:22:08.244 --> 01:22:08.965]  It's next level.
[01:22:08.985 --> 01:22:10.025]  These guys are heroes.
[01:22:11.046 --> 01:22:12.226]  I mean, absolute heroes.
[01:22:12.266 --> 01:22:13.907]  By the way, I want to make a public statement.
[01:22:14.207 --> 01:22:19.373]   If you screw with my whistleblowers, If you corrupt monsters, screw with my whistleblowers.
[01:22:19.553 --> 01:22:20.734]  I will see you in court.
[01:22:20.974 --> 01:22:23.255]  I don't care who you are or what you're doing.
[01:22:23.575 --> 01:22:25.516]  You screw with them, I got their back.
[01:22:25.796 --> 01:22:29.438]  And I got a whole team of attorneys now that have this data.
[01:22:29.738 --> 01:22:31.899]  We have backup on backup on backup.
[01:22:32.440 --> 01:22:36.161]  It doesn't matter what you do, we will protect these whistleblowers.
