[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[01:14:16.662 --> 01:14:17.843]  I'm just playing devil's advocate.
[01:14:18.871 --> 01:14:39.888]  Yeah, I know you are, but the thing about Musk is that he's pushing the agenda on every level, but we're asked to believe that when it comes to free speech destruction, which is the very foundation of how this agenda is coming in, so it can't be exposed, that he's going to take a totally different track.
[01:14:39.908 --> 01:14:40.809]  So let me ask this question.
[01:14:40.909 --> 01:14:48.275]  Whereas the globalist average people just say, screw you, we're taking your rights, we'll kill everybody, world government, why is he acting like he's against it?
[01:14:49.724 --> 01:15:00.553]  Well, if you want to control a game, then you want to know what the outcome's going to be, what the score's going to be before the first ball is kicked.
[01:15:00.573 --> 01:15:02.635]  So you're saying he's being set up as loyal opposition?
[01:15:03.376 --> 01:15:03.956]  It's no good.
[01:15:03.976 --> 01:15:05.157]  I don't think he's being set up.
[01:15:05.217 --> 01:15:06.778]  I think he knows exactly what he's doing.
[01:15:07.639 --> 01:15:09.981]  You have to control not one side of the game.
[01:15:10.001 --> 01:15:11.422]  No, I don't mean he's being set up.
[01:15:11.462 --> 01:15:14.285]  I mean, they're setting him up as the loyal opposition.
[01:15:15.228 --> 01:15:19.073]  Yeah, well yeah, in part, that's what we're talking about.
[01:15:19.093 --> 01:15:21.597]  You know, the free speech friend.
[01:15:21.717 --> 01:15:25.041]  Well, he's not my free speech friend, obviously.
[01:15:25.342 --> 01:15:32.612]  But the other thing, the other backstop that they have, you see, because the co-owns governments and the European Union is already kicking off.
[01:15:33.452 --> 01:15:40.776]  They are pushing back against Twitter and saying, oh no, you can't do this, you're not going to be allowed to do this, the people aren't going to be allowed to do that.
[01:15:41.216 --> 01:15:50.041]  So he's got that backstop to say, well, I really wanted free speech, but of course I can't now because of what governments and what have you are doing.
[01:15:50.101 --> 01:16:00.426]  I mean, he's got ways of explaining it away, but he's not got ways of explaining away the fact that he's stopping people questioning the whole thing.
[01:16:00.606 --> 01:16:04.307]  That's kind of the next level of the New World Order where he acts like he's our friend but he isn't.
[01:16:05.205 --> 01:16:08.968]  Yeah, well, you know my views on Donald Trump.
[01:16:09.369 --> 01:16:18.016]  I mean, I think what Donald Trump said recently, when he called DeSantis desanctimonious, was an absolute bloody disgrace.
[01:16:18.497 --> 01:16:21.940]  We're supposed to be coming together and supporting each other.
[01:16:21.960 --> 01:16:24.682]  It's not about you, Mr Trump.
[01:16:24.762 --> 01:16:27.024]  It's not about your power and your ego.
[01:16:27.425 --> 01:16:29.146]  It's about bringing this down.
[01:16:29.526 --> 01:16:39.926]   And DeSantis did not I'm not saying DeSantis is perfect, but I want to talk about him when you come back.
[01:16:39.946 --> 01:16:40.406]  It's true.
[01:16:40.446 --> 01:16:43.049]  The talking point is that DeSantis is skull and bones.
[01:16:43.069 --> 01:16:43.729]  We looked it up.
[01:16:43.970 --> 01:16:45.851]  He's not a skull and bones member that's being put out.
[01:16:45.871 --> 01:16:46.172]  It's not true.
[01:16:46.212 --> 01:16:46.772]  David Icke, stand there.
[01:16:46.592 --> 01:16:48.271]  I want to talk about him when you come back.
[01:16:48.271 --> 01:16:49.272]  It's true.
[01:16:49.272 --> 01:16:52.231]  The talking point is that Sanders is a skull and bones.
[01:16:52.231 --> 01:16:53.232]  We looked it up.
[01:16:53.232 --> 01:16:55.552]  He's not a skull and bones member that's being put out.
[01:16:55.552 --> 01:16:56.552]  It's not true.
[01:16:56.552 --> 01:16:57.552]  David Ike, stay there.
[01:16:57.552 --> 01:16:58.552]  We'll talk about Trump.
[01:16:59.370 --> 01:17:00.651]  I was about to say, what about Trump?
[01:17:00.691 --> 01:17:01.451]  And you said Trump.
[01:17:01.812 --> 01:17:02.652]  That is wild.
[01:17:02.872 --> 01:17:04.413]  So we're definitely synced up.
[01:17:04.433 --> 01:17:05.453]  David, I can stay right there.
[01:17:06.093 --> 01:17:11.096]  And then we got all the election news, a bunch of stuff's built up here, a bunch of video clips, and so much more.
[01:17:11.156 --> 01:17:11.616]  Stay with us.
[01:17:13.096 --> 01:17:18.279]  So I don't put my trust in leaders, especially when I have a long track record.
[01:17:18.459 --> 01:17:19.819]  Well, there are good people on this planet.
[01:17:19.839 --> 01:17:22.200]  There's not just evil, so we shouldn't give up hope.
[01:17:22.240 --> 01:17:24.561]  But it's the individual action that really changes the world.
[01:17:25.782 --> 01:17:34.145]   But I was literally We didn't talk before the broadcast, but I sat David on for weeks before he even got listed as a terrorist by the EU.
[01:17:34.646 --> 01:17:35.967]  Then he agreed last week to come on today.
[01:17:35.987 --> 01:17:40.269]  I was literally about to say Trump versus DeSantis.
[01:17:40.729 --> 01:17:44.011]  He goes, let's take Trump and DeSantis out of a thousand topics.
[01:17:44.592 --> 01:17:45.292]  He went right there.
[01:17:45.372 --> 01:17:46.913]  So I'm not naive, but I hear this thing.
[01:17:47.273 --> 01:17:48.314]  Oh, DeSantis is a skull and bones.
[01:17:48.334 --> 01:17:49.955]  When I looked it up, it wasn't a skull and bones.
[01:17:49.975 --> 01:17:51.216]  It's not true.
[01:17:52.355 --> 01:17:53.476]  Not saying DeSantis is perfect.
[01:17:53.536 --> 01:17:54.236]  I'm not naive.
[01:17:54.717 --> 01:17:57.398]  But yeah, Trump, like, oh, the sanctimonious over there.
[01:17:57.919 --> 01:17:58.919]  I'm not wedded to Trump.
[01:17:58.939 --> 01:17:59.960]  I'm not the Trump cult.
[01:18:00.420 --> 01:18:01.581]  I think Trump did some good things.
[01:18:01.601 --> 01:18:06.284]  I don't think he's working for them, but I think he's very egotistical and can be manipulated.
[01:18:06.324 --> 01:18:10.647]  So I want David Icke's take on Ron DeSantis versus Donald Trump and where you see this going.
[01:18:12.492 --> 01:18:17.894]  Well, I mean, I've been less than a Trump fan since he was running for office.
[01:18:18.514 --> 01:18:29.499]  You know, when he was being promoted as the maverick president, well, he started off with the best part of 20 candidates against him to win the Republican nomination.
[01:18:29.579 --> 01:18:37.362]  And we were told that he was not wanted by the Republican Party and that he was a maverick and an outsider and all that.
[01:18:37.462 --> 01:18:39.563]  Well, you look at his background, he's not an outsider.
[01:18:41.524 --> 01:18:47.468]  But he got the nomination and when he got the nomination I thought this guy's gonna win!
[01:18:48.471 --> 01:19:09.038]  Because at the same time you had WikiLeaks revealing documents and emails that showed that the Democratic Party was stitching it up for Hillary Clinton and making sure that she was going to be the candidate and the rest were not going to make it.
[01:19:09.818 --> 01:19:19.164]   And so if they could do it, and they did quite clearly, Then the Republican Party could have done it if they really wanted to stop Trump.
[01:19:19.645 --> 01:19:27.191]  There would be many ways they could have stopped Trump but they didn't and he got in and he's been used and was used to divide America.
[01:19:27.692 --> 01:19:36.740]  I'm not saying he knows that but he's been used to divide America and so you've got this real division now between anti-Trump and pro-Trump.
[01:19:37.299 --> 01:19:44.905]  And I look and, you know, I keep saying about, you know, by their actions, Shelby, you know them.
[01:19:46.327 --> 01:19:53.527]   It was blatantly obvious to anyone looking on that this fake vaccine was going to be
[01:19:53.527 --> 01:19:56.047]  a bioweapon.
[01:19:56.047 --> 01:20:01.047]   Obvious that it was going to be devastating in terms of fatality and health, exactly what
[01:20:01.047 --> 01:20:02.047]  it's become.
[01:20:02.047 --> 01:20:10.006]   And so we had Operation Warp Speed, which Trump promoted and is still saying get vaccinated,
[01:20:10.006 --> 01:20:15.686]   the last I heard him, despite the figures and the data for the deaths and the destroyed
[01:20:15.686 --> 01:20:18.646]  health that we've seen.
[01:20:17.118 --> 01:20:22.624]  So I look at that and I think, well, either he knows what he's doing or he doesn't know what he's doing.
[01:20:22.784 --> 01:20:27.869]  Either way, I don't want him as president personally, because I think we can do better.
[01:20:27.889 --> 01:20:34.156]  And then I looked at Ron DeSantis and like I said earlier, you look at what he does.
[01:20:36.220 --> 01:20:45.403]  He was the one that kept Florida open as one of the most open states in America during the Covid fascist lockdowns.
[01:20:45.423 --> 01:20:48.864]  He has pushed back on mandates for the fake vaccine.
[01:20:48.924 --> 01:21:15.383]   He's said through his medical team that children etc shouldn't have this vaccine etc and he's pushed back and invoked laws to stop the sexualization of children and the The gender activist programming of children and the mutilation and sterilization of children in the name of transgender.
[01:21:15.823 --> 01:21:16.763]  He's done all this.
[01:21:17.523 --> 01:21:18.823]  He's not talked about it.
[01:21:18.843 --> 01:21:19.524]  He's done it.
[01:21:20.504 --> 01:21:27.045]  He highlighted the southern border and the abomination that's happening.
[01:21:27.105 --> 01:21:29.206]  Yeah, separate the illegals from Martha's Vineyard.
[01:21:29.286 --> 01:21:32.827]  I agree that DeSantis, if you look at the report cards, is doing way better than Trump.
[01:21:32.847 --> 01:21:33.187]  Sorry, go ahead.
[01:21:34.028 --> 01:21:55.862]  This is a guy who does things, and I don't know his total background or anything like that, but I'm just looking on and I'm thinking, Trump talks, DeSantis does, and therefore I know who I'd prefer to be President of the United States, because if the Democrats completely trumped a cult owned.
[01:21:56.243 --> 01:22:00.946]  The point being, though, that America is a one party state, just like Britain is.
[01:22:01.804 --> 01:22:08.586]  But there are elements within the Republican Party, especially new people coming in tonight, hopefully, to get elected.
[01:22:08.426 --> 01:22:13.586]   I think Cary Lake in Arizona is a breath of fresh air in so many ways.
[01:22:13.586 --> 01:22:17.066]   Exactly, so let me ask this, we have five minutes to the next hour, but if you can do
[01:22:17.066 --> 01:22:21.506]  it, but let me ask this now with six minutes to break.
[01:22:21.506 --> 01:22:26.785]   When I look at China with half their country under lockdown for two and a half years, something
[01:22:26.785 --> 01:22:32.265]   like 400 million under lockdown, they're building these giant camps everywhere, putting everybody
[01:22:33.075 --> 01:22:36.837]  They're building other similar UN-directed camps all over the Western world.
