[00:00:00.333 --> 00:00:01.674]  So it's all official.
[01:12:28.367 --> 01:12:33.570]  That's as good as a sale can get because we can't even afford to buy more product in the future if we don't do that.
[01:12:34.471 --> 01:12:40.195]  But with things like t-shirts that I designed or made that I never promoted that didn't sell, we got to get them out of the warehouse.
[01:12:40.255 --> 01:12:46.599]  So, please go to mflowworkstore.com and take advantage of that emergency 75% blowout sale.
[01:12:46.939 --> 01:12:54.084]  Because as you can see, everything you see with the world and the economy and the wars and your own personal life, that's happening here.
[01:12:54.444 --> 01:12:55.244]  And we're not whiners.
[01:12:55.304 --> 01:13:01.245]  I don't get on here and, I'm a victim, it's hard, oh my gosh, the dirty tricks, oh my goodness, I'm spending all my savings to keep us on air.
[01:13:01.606 --> 01:13:04.026]  I am blessed at this point to be pedaled to the metal.
[01:13:04.566 --> 01:13:07.767]  I should be almost out of gas to pedal to the metal in this fight.
[01:13:08.127 --> 01:13:09.267]  Any fight you're going to win, you're going 110%.
[01:13:11.127 --> 01:13:16.489]  You got my commitment that I will never back down, I will never sell out, I will never give in, but I could give out.
[01:13:16.509 --> 01:13:18.289]  So I'm going to go to your phone calls.
[01:13:19.569 --> 01:13:20.689]  I got through a lot of the stack.
[01:13:21.510 --> 01:13:22.890]  I got through three stacks here, but man.
[01:13:23.962 --> 01:13:32.925]  I just, I was stunned when I learned ten years ago they were keeping babies alive and harvesting their organs at universities and getting live babies delivered.
[01:13:32.965 --> 01:13:35.165]  You saw that come out in documents and court hearings.
[01:13:35.225 --> 01:13:36.486]  It was confirmed just a few years ago.
[01:13:36.506 --> 01:13:41.207]  But I talked to nurses inside, people at these universities.
[01:13:41.227 --> 01:13:47.229]  They were liberals and pro-abortion, but they were like, a living nine-month-old baby just got delivered, we're going to do experiments on?
[01:13:48.129 --> 01:13:48.709]  This is a human.
[01:13:48.729 --> 01:13:49.490]  This ain't a lab rat.
[01:13:50.050 --> 01:13:53.172]  I mean, I knew that 10 years ago and told you, okay?
[01:13:53.432 --> 01:13:54.833]  And then now it's come out in court hearings.
[01:13:54.853 --> 01:13:56.353]  I mean, this is real, okay?
[01:13:56.794 --> 01:13:57.674]  The same thing again, people.
[01:13:58.515 --> 01:13:59.915]  And it's the same thing here with the dollar.
[01:13:59.995 --> 01:14:02.297]  Maybe you don't care about babies, okay?
[01:14:05.138 --> 01:14:12.762]  Maybe you don't care about them, but you better care that evil people are in charge that would do that, because they'll hurt you too, you idiots.
[01:14:13.082 --> 01:14:13.983]  I'm talking about leftists.
[01:14:14.023 --> 01:14:16.004]  Like, what is your problem?
[01:14:17.448 --> 01:14:22.690]  And then, do you know what the end of the dollar means?
[01:14:22.750 --> 01:14:23.850]  Do you know?
[01:14:26.531 --> 01:14:28.612]  We have been positioned for total collapse.
[01:14:28.972 --> 01:14:31.193]  That's the one leg on the stool holding us up.
[01:14:31.253 --> 01:14:33.893]  You take that out, we fall!
[01:14:33.893 --> 01:14:39.172]  [laughs]
[01:14:39.172 --> 01:14:45.333]   I cannot believe it's all happening like this and people still have a normalcy bias.
[01:14:45.333 --> 01:14:49.373]   *clears throat* Crime is up 200% on average, violent crime.
[01:14:50.334 --> 01:14:53.056]  I know a bunch of people robbed and mugged in Austin, that's not even on the news.
[01:14:56.378 --> 01:15:01.262]  If somebody breaks into my house and I blow them away, you know the communist DA they've put in Austin, literally he's a communist.
[01:15:01.742 --> 01:15:03.783]  George Soros says he'll arrest anybody who defends themselves.
[01:15:03.883 --> 01:15:06.465]  I mean, it's just, why?
[01:15:07.046 --> 01:15:08.427]  Why did we forsake God?
[01:15:08.807 --> 01:15:10.188]  You know, I'm gonna go to break and take your calls.
[01:15:11.369 --> 01:15:13.270]  Sherry Timpani's coming up, but she'll be with us in a few seconds.
[01:15:13.290 --> 01:15:13.850]  I'll get your calls.
[01:15:14.391 --> 01:15:15.632]  I hope the phone's up and I'm ranting here.
[01:15:18.612 --> 01:15:19.453]  Let's play the clip here.
[01:15:19.473 --> 01:15:23.575]  You see, I've been trying to stop this for 28 years.
[01:15:23.775 --> 01:15:26.217]  This isn't an act up here when I started hyperventilating and stuff.
[01:15:26.237 --> 01:15:27.577]  This is 100% real, folks.
[01:15:28.498 --> 01:15:41.946]  Because I tried with everything in my body to stop this, and my total will has been turned against this, and we slowed it down together, but it's now coming in, and it's just, it's just, it's pedophiles all over TV bragging how they have our children.
[01:15:41.966 --> 01:15:42.847]  I've got stacks of that.
[01:15:42.907 --> 01:15:44.848]  I mean, it's just, and this is just the start.
[01:15:47.332 --> 01:15:50.614]  And I don't worry about me, but I do worry about my children and other people's children.
[01:15:51.034 --> 01:15:52.014]  That's all I think about.
[01:15:52.034 --> 01:15:55.236]  That's instinctive for me, like any other mammal, to protect our children.
[01:15:55.316 --> 01:16:03.080]  And it just, my mind and my soul is literally kicking me in the head right now, saying, you are a punk, Jones!
[01:16:03.440 --> 01:16:05.281]  You are a frickin' loser!
[01:16:06.761 --> 01:16:10.023]  You knew what they were gonna do, and you couldn't stop them!
[01:16:12.123 --> 01:16:14.823]  And I'll be honest, it makes me hate the public too.
[01:16:14.823 --> 01:16:19.684]   As much as I'm mad at myself that we knew this was going on and we couldn't stop it, but whatever,
[01:16:19.684 --> 01:16:21.962]  I'm just gonna do the best I can.
[01:16:21.962 --> 01:16:26.962]   Here's a video out of San Francisco of a man who hopped out of his brain in a store,
[01:16:26.962 --> 01:16:31.483]   robbing things, got a fire extinguisher, it looks like a bag of chips in his hands.
[01:16:31.483 --> 01:16:34.083]   And another dude just gets sick of it and cracks him over the head
[01:16:34.083 --> 01:16:35.884]  'cause nobody'll stop what's going on.
[01:16:35.272 --> 01:16:37.192]  And everybody chases him to arrest him.
[01:16:37.633 --> 01:16:41.514]  And again, this is the zombie possession of America.
[01:16:41.594 --> 01:16:44.234]  This is the chemical attack with the drugs on us.
[01:16:44.294 --> 01:16:44.994]  Roll it with audio.
[01:16:44.833 --> 01:16:45.833]  Here it is.
[01:16:45.833 --> 01:16:46.833]  The team is doing this.
[01:16:46.833 --> 01:16:47.833]  You need to go.
[01:16:47.833 --> 01:16:48.833]  The exit is right there.
[01:16:48.833 --> 01:16:48.833]  Standing there for radio listeners.
[01:16:49.833 --> 01:16:51.833]  Standing there for radio listeners.
[01:16:51.833 --> 01:16:58.833]  Standing there for radio listeners.
[01:16:58.597 --> 01:17:01.059]  I'm there ready with a fire extinguisher and a bag of chips.
[01:17:01.179 --> 01:17:06.782]  And then the guy comes and hits him with a display tower on the back of the head.
[01:17:06.802 --> 01:17:07.802]  Whoa!
[01:17:09.243 --> 01:17:10.284]  Whoa, whoa, whoa!
[01:17:11.785 --> 01:17:12.365]  Oh my God!
[01:17:14.618 --> 01:17:23.003]  And now the naked, I should add he's naked, the naked zombie guy now chases the other black man out of the thing because if he had been a white guy it would be all the hate crime is.
[01:17:24.384 --> 01:17:29.567]  You got what looks like one Somali, or maybe the Ethiopian, chasing another Ethiopian.
[01:17:29.687 --> 01:17:34.290]  Everybody's just like 9-1-1, 9-1-1, 9-1-1.
[01:17:34.330 --> 01:17:35.971]  Let him go, let him go.
[01:17:36.491 --> 01:17:37.552]  Lock the door, lock the door.
[01:17:37.572 --> 01:17:38.813]  Lock the door, lock the door.
[01:17:41.051 --> 01:17:51.795]  And they're all wearing their masks, and the women all think they're chic, and they're all just people submitting to the system when they think the system's there to save them, when the system's there to destroy you.
[01:17:52.876 --> 01:17:54.937]  I mean, I've got just hours of stuff like this.
[01:17:55.057 --> 01:17:56.457]  It is zombie world out there.
[01:17:57.438 --> 01:17:58.618]  I don't need to look at it on YouTube.
[01:17:59.078 --> 01:18:08.082]  I can walk out my door and go to Barton Creek, where I used to hike, where I always hike, and there's like just third world people living down there everywhere.
[01:18:08.943 --> 01:18:11.044]  And again, it's just a collapse of the country.
[01:18:11.765 --> 01:18:12.325]  All by design.
[01:18:14.006 --> 01:18:24.671]  And the average person doesn't even know why their gas prices are up and has no idea that if you think gas prices are bad now, they'll be $10 a gallon, $20 a gallon at the dollar devalues, which is happening now.
[01:18:25.051 --> 01:18:26.092]  The end of the dollar.
[01:18:26.112 --> 01:18:27.112]  We'll be right back with your calls.
[01:18:28.593 --> 01:18:29.954]  There's no longer any doubt.
[01:18:30.554 --> 01:18:31.414]  This is the big one.
[01:18:31.975 --> 01:18:35.937]  World government collapse, bioweapon depopulation.
[01:18:37.113 --> 01:18:38.654]  Get ready, warn everybody you can.
[01:18:39.335 --> 01:18:40.195]  Politically fight it.
[01:18:40.716 --> 01:18:41.496]  Get close to God.
[01:18:41.516 --> 01:18:45.179]  All right, let's go to your phone calls.
[01:18:45.199 --> 01:18:46.200]  I really appreciate you calling.
[01:18:46.240 --> 01:18:47.361]  I really appreciate you holding.
[01:18:47.381 --> 01:18:49.783]  Let's go to Matt in Missouri, then Susan in California.
[01:18:50.163 --> 01:18:50.744]  Matt, welcome.
[01:18:51.704 --> 01:18:52.145]  Thanks, Alex.
[01:18:52.285 --> 01:18:58.670]  Hey, when you say we don't have a lot of time for this petrodollar or de-dollarization, we could be talking two days.
[01:18:59.450 --> 01:19:02.833]  Putin, I think, has a deadline for starting to buy Russian gas.
[01:19:02.913 --> 01:19:04.254]  Oh yeah, brother, it's happening now.
[01:19:06.368 --> 01:19:08.750]  I mean, my house burned down to be ten times better than this.
[01:19:08.790 --> 01:19:12.634]  This is like, that's why I'm literally, how freaked out are you?
[01:19:12.874 --> 01:19:13.955]  I mean, this is big, right?
[01:19:14.495 --> 01:19:15.917]  I'll tell you why I'm freaked out.
[01:19:16.357 --> 01:19:25.145]  In two days, the dollar, it is a fiat currency in a sense, but it is a petrodollar, so it is essentially tied to the barrel of oil.
[01:19:25.245 --> 01:19:26.967]  Yeah, the dollar is the petrodollar.
[01:19:27.586 --> 01:19:35.368]  If it goes away, literally within 48 hours, you will see inflation literally Venezuela level in three days.
[01:19:35.408 --> 01:19:36.948]  We're not talking about in our lifetime.
[01:19:37.268 --> 01:19:38.628]  We're talking about in three days.
[01:19:38.688 --> 01:19:40.269]  Now, here's the key.
[01:19:40.569 --> 01:19:42.229]  They're going to accept payment in dollars.
[01:19:42.529 --> 01:19:47.670]  I'm sorry, gold, silver, Bitcoin, probably other precious metals, probably copper.
[01:19:48.490 --> 01:19:49.931]  They said land in some cases.
[01:19:50.231 --> 01:19:53.411]  So what do you think that's going to do to the precious metals prices?
[01:19:53.511 --> 01:19:58.636]   Now, if you will only accept payment in precious metals, J.P.
[01:19:58.656 --> 01:20:04.462]  Morgan, all these massive banks that have been artificially holding the price... That have been naked shorting and it's going to destroy them.
[01:20:04.482 --> 01:20:04.922]  Yeah, I know.
[01:20:05.323 --> 01:20:06.684]  But I'm saying the globalists aren't dumb.
[01:20:07.044 --> 01:20:12.490]  They started an economic war with Russia that they were running in China that they knew would kill America.
[01:20:12.510 --> 01:20:13.291]  That's what I'm saying.
[01:20:13.311 --> 01:20:14.552]  They're doing it on purpose, brother.
[01:20:15.333 --> 01:20:16.334]  Well, here's the second thing.
[01:20:17.676 --> 01:20:22.541]  If you're an investor on the street, right, all this global uncertainty, I thought, you know what?
[01:20:22.921 --> 01:20:24.523]  I'm going to buy some Russian stocks.
[01:20:24.623 --> 01:20:28.987]  I'm going to buy a little energy, you know, Gazprom, some of these other big, well, you can't buy the stock.
[01:20:29.308 --> 01:20:32.070]   These stocks have been trading on a 12-month No, I hear you.
