[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[01:16:04.008 --> 01:16:06.029]  Is a society that soon will not be able to protect anybody.
[01:16:06.069 --> 01:16:09.992]  This is a hallmark of cultural and social decay against which we should fight back very hard and very soon.
[01:16:09.952 --> 01:16:11.952]  Don't forget band.video.
[01:16:11.952 --> 01:16:19.152]  Is a society that soon will not be able to protect anybody.
[01:16:19.152 --> 01:16:26.112]   This is a hallmark of cultural and social decay against which we should fight back very
[01:16:26.112 --> 01:16:27.671]  hard and very soon.
[01:16:27.671 --> 01:16:31.072]  We don't have time to wait years to do this.
[01:16:31.072 --> 01:16:38.791]   The sickos who are pushing sexual content in kindergartens or providing puberty blockers
[01:16:38.791 --> 01:16:42.152]   to young children who have no idea what a puberty blocker is.
[01:16:42.728 --> 01:16:43.929]  Neither do I, by the way.
[01:16:45.791 --> 01:16:48.534]  Neither do most of the people in the audience as you smile.
[01:16:49.875 --> 01:16:50.957]  Let's just say they're not good.
[01:16:52.789 --> 01:16:59.128]   are not just engaged in acts of depravity, in many cases they are breaking the law
[01:16:59.128 --> 01:17:02.128]  and they should be held fully accountable.
[01:17:02.128 --> 01:17:05.289]  (audience applauding)
[01:17:05.289 --> 01:17:15.269]   And by the way, we should not allow men to play in women's sports.
[01:17:15.269 --> 01:17:18.449]  (audience applauding)
[01:17:18.449 --> 01:17:22.109]  (audience member coughing)
[01:17:22.109 --> 01:17:32.109]  [BLANK_AUDIO]
[01:17:26.852 --> 01:17:29.574]  Alright, ladies and gentlemen, I'm going to go back down to court here.
[01:17:31.996 --> 01:17:40.141]  This kangaroo court where they've already found me guilty, where they won't let us cross-examine people, where they're raping and robbing everybody's freedoms in America.
[01:17:40.161 --> 01:17:41.963]  And, you know, I'm not a victim.
[01:17:42.523 --> 01:17:44.284]  I know the enemies are coming after us all.
[01:17:44.785 --> 01:17:45.665]  You are their victim.
[01:17:45.705 --> 01:17:46.966]  They want to victimize us all.
[01:17:47.687 --> 01:17:48.987]  I chose to get in the arena.
[01:17:49.428 --> 01:17:50.669]  I chose to fight these people.
[01:17:51.769 --> 01:17:55.152]  And they want Infowars destroyed more than anything.
[01:17:56.487 --> 01:18:03.365]   And they know that our operating system of resisting the globalists, what I call 1776 worldwide,
[01:18:03.365 --> 01:18:06.726]   is the truth and is the most effective system to counter them.
[01:18:06.726 --> 01:18:18.087]   That's why they fear us so much. So I take a lot of satisfaction in that, despite all the pain.
[01:18:18.289 --> 01:18:21.930]  And I thank you all for what you've done over the years to keep us on air.
[01:18:21.970 --> 01:18:25.612]  But now, we're all together entering the crucible.
[01:18:26.152 --> 01:18:28.213]  That's not a rhetorical phrase.
[01:18:28.493 --> 01:18:29.453]  We're in this together.
[01:18:29.714 --> 01:18:44.643]   We are literally having them destroy our borders, attack our children, devalue our currency, launch all these wars, promote pedophilia, annihilate our free speech, spy on all of us, We have tyranny.
[01:18:46.504 --> 01:18:47.464]  We have tyrants.
[01:18:50.185 --> 01:18:53.826]  And we've been vindicated in spades, unfortunately.
[01:18:54.146 --> 01:18:55.627]  I would rather have backed this off.
[01:18:55.647 --> 01:18:57.747]  People say, oh, look, he said all this would happen.
[01:18:57.767 --> 01:18:58.328]  It didn't happen.
[01:19:00.108 --> 01:19:01.068]  Instead, it's all happening.
[01:19:01.929 --> 01:19:06.230]  The most important work that we've ever done is happening now.
[01:19:06.250 --> 01:19:09.031]  I want to explain something to you.
[01:19:09.691 --> 01:19:12.452]  We only make a few dollars off each book that's sold at Amazon.
[01:19:13.787 --> 01:19:17.270]  We sell them at InfowarsTour.com, The Great Reset, The War for the World.
[01:19:17.390 --> 01:19:25.197]  And if we could sell, man, if we could sell 100,000 books at Infowars.com, that would really help us pay the bills.
[01:19:25.277 --> 01:19:27.459]  It's a great historic book to have and to share with others.
[01:19:27.699 --> 01:19:29.260]  It exposes the whole New World Order plan.
[01:19:29.601 --> 01:19:30.541]  I'm really proud of this book.
[01:19:30.702 --> 01:19:32.083]  We worked really, really hard on this.
[01:19:32.984 --> 01:19:36.286]  And it blows away all the other best-selling Great Reset books out there.
[01:19:36.647 --> 01:19:42.305]   Steve Bannon said, He said the most important work since the Founding Fathers.
[01:19:42.906 --> 01:19:49.009]  When you really read it, it gives the whole enemy battle plan, and every claim I make, I show you a quote where they said it.
[01:19:49.769 --> 01:19:53.731]  This is a textbook, a blueprint of the enemy's operation.
[01:19:54.051 --> 01:19:55.652]  You want to beat them, you got to have it.
[01:19:56.573 --> 01:19:57.933]  Sure, you'd already know about all this.
[01:19:58.274 --> 01:19:58.574]  Okay.
[01:19:59.894 --> 01:20:00.875]  Buy a couple copies.
[01:20:00.935 --> 01:20:01.735]  Buy five copies.
[01:20:01.855 --> 01:20:03.836]  And people of means, buy 50 copies.
[01:20:04.817 --> 01:20:05.597]  Go to Amazon.
[01:20:05.637 --> 01:20:07.718]  Buy 10 copies, 20 copies right now.
[01:20:08.219 --> 01:20:08.539]  Get them.
[01:20:09.451 --> 01:20:16.357]  Give them to the library, give them to the police department, give them to your pastor, give them to your doctor, give them to your lawyer, give them to your wife, your husband, your co-workers.
[01:20:16.797 --> 01:20:18.378]  Now is the time to be all in.
[01:20:19.880 --> 01:20:22.662]  It's number one in history and now 17 other charts.
[01:20:23.182 --> 01:20:32.170]  It's number 50 as of this morning in the world on the number one most important chart ahead of Obama's book and Michael Obama's book.
[01:20:32.850 --> 01:20:35.753]  Or also known as Michelle Obama, but he calls her Michael.
[01:20:37.474 --> 01:20:38.235]  In five speeches.
[01:20:39.420 --> 01:20:50.142]  So, we're ahead of Obama, and we're ahead of his husband, Michael.
[01:20:51.342 --> 01:20:59.444]  So, this is a big deal, ladies and gentlemen, and we need to get this book to number one in the world.
[01:21:01.325 --> 01:21:02.845]  Number one in the world.
[01:21:03.625 --> 01:21:08.326]  So, as much as I want you to buy it at InfoWarsTore.com, go buy a signed copy at InfoWarsTore.com.
[01:21:10.782 --> 01:21:15.685]  But get multiple copies from Amazon and get them out to everyone you know.
[01:21:15.725 --> 01:21:20.748]  That's the place to get it because it'll drive it to number one and use the enemy's own systems against them.
[01:21:23.229 --> 01:21:26.071]  Continuing, Alex's War is now live and available.
[01:21:26.650 --> 01:21:31.770]   It was number two on the charts the last few weeks on Apple pre-orders.
[01:21:31.770 --> 01:21:38.690]   And now it is available at alexiswar.com to watch the trailer, to watch the film on Apple
[01:21:38.690 --> 01:21:39.690]  TV and iTunes.
[01:21:39.690 --> 01:21:40.690]  A very powerful film.
[01:21:40.690 --> 01:21:43.010]  Chronically our 28 years of the fight against globalists.
[01:21:43.010 --> 01:21:44.529]  Get it on Vimeo.
[01:21:44.529 --> 01:21:46.810]  You can watch it on Odyssey.
[01:21:46.810 --> 01:21:49.489]  Get it on Rockfin.
[01:21:49.489 --> 01:21:50.489]  Watch it on Locals.
[01:21:50.489 --> 01:21:52.529]  Get it on Amazon Prime.
[01:21:52.529 --> 01:21:54.050]  Get it on Google Play.
[01:21:54.050 --> 01:21:56.570]  Get it on Microsoft, Xbox.
[01:21:56.570 --> 01:21:58.650]  Try it on YouTube.
[01:21:58.650 --> 01:22:02.970]  Get it on so many other platforms, ladies and gentlemen.
[01:22:03.231 --> 01:22:04.732]  And these folks have put a lot of money into this.
[01:22:04.752 --> 01:22:13.140]  They're putting billboards up like the one you see on screen in Los Angeles and other cities around the country.
[01:22:14.161 --> 01:22:14.862]  We're fighting back.
[01:22:14.902 --> 01:22:23.848]   I told you that we had more than 10 projects going and we've launched Several of them now working with folks.
[01:22:24.429 --> 01:22:26.431]  We've got at least eight projects.
[01:22:27.953 --> 01:22:28.934]  I get a little extreme.
[01:22:28.974 --> 01:22:31.196]  I try to do too much, but they're all months behind.
[01:22:31.236 --> 01:22:34.500]  But several of them are going to be breaking in the next month.
[01:22:35.020 --> 01:22:36.802]  Then a bunch of others are going to be coming after that.
[01:22:37.823 --> 01:22:44.446]  Uh, and I'm the type of guy that goes to a buffet, especially when I ran six miles every couple days and lives away for two hours a day.
[01:22:44.466 --> 01:22:49.408]  I would go to like a Furze, all-you-can-eat cafeteria and eat like three plate loads of food.
[01:22:49.428 --> 01:22:50.028]  I don't do that now.
[01:22:50.048 --> 01:22:51.649]  I eat one plate load of food and I'm still fat.
[01:22:52.570 --> 01:22:55.231]  But that's kind of how I am with resisting the globalists.
[01:22:55.931 --> 01:22:59.133]  Back when I had plenty of money and extra money, I didn't even try to raise extra money.
[01:22:59.493 --> 01:23:00.754]  We had plenty coming in years ago.
[01:23:01.515 --> 01:23:09.160]  I supported and financed so many films and groups and made just pure donations to invest in films exposing pedophilia and all the rest of it.
[01:23:09.520 --> 01:23:13.863]  But now we're crushed down in the resistance to our Masada Hilltop here.
[01:23:15.071 --> 01:23:15.812]  Or Alamo.
[01:23:16.552 --> 01:23:18.654]  And we need your support now more than ever.
[01:23:18.674 --> 01:23:20.075]  So I want to encourage you.
[01:23:20.095 --> 01:23:22.797]  I don't make money off Alex's war in the theaters.
[01:23:22.897 --> 01:23:24.138]  I don't care about the truth getting out.
[01:23:24.438 --> 01:23:26.599]  But you can buy the DVD so they can't censor it.
[01:23:26.859 --> 01:23:29.822]  So it's in your archive to share with others at Infowarshore.com.
[01:23:31.062 --> 01:23:32.644]  Screenings start this Friday.
[01:23:33.344 --> 01:23:50.966]   So you can buy tickets now in Hollywood, California, Santa Monica, Waterloo, Indiana, at Addison, Illinois, O'Fallon, Illinois, Granville, Cape Girardi, Missouri, Lake Ozark, Missouri, Elk River, Minnesota, Oakdale, Minnesota, Fargo, North Dakota.
[01:23:50.986 --> 01:23:52.446]  This is where Patriots have been asking for it.
[01:23:52.806 --> 01:24:04.931]  Omaha, Nebraska, Las Vegas, Nevada, New York, New York, Columbus, Ohio, Mentor, Ohio, Cordova, Tennessee, Franklin, Tennessee, Austin, Texas, Janesville, Wisconsin, and many others.
[01:24:05.191 --> 01:24:06.392]  This list is two days old.
[01:24:06.452 --> 01:24:08.592]  I'm told it's been added to more than a hundred other cities.
[01:24:08.953 --> 01:24:14.389]   So we're at a hundred and 20 cities or so, it's showing at one theater in North Austin.
[01:24:15.189 --> 01:24:19.950]  We need those to sell out, and then it'll get put in theaters all over the country.
[01:24:20.310 --> 01:24:21.971]  A major, major victory.
[01:24:22.011 --> 01:24:26.792]  This is a war of money, a war of energy, a war of culture, a war of action.
[01:24:26.812 --> 01:24:29.592]  We're already number one in the history section.
[01:24:32.153 --> 01:24:33.453]  World history, we're number one.
[01:24:33.973 --> 01:24:34.254]  U.S.
[01:24:34.294 --> 01:24:35.334]  history, we're number one.
[01:24:35.354 --> 01:24:40.075]  I think it's 17 or 18 sections we're number one in right now.
[01:24:41.587 --> 01:24:48.009]  Ahead of Klaus Schwab, Yuval Harari, Bill Clinton, Barack Obama, Michelle Obama, all of them.
[01:24:49.129 --> 01:24:50.950]  So do that and take action.
[01:24:52.450 --> 01:24:57.292]  Separately, vitamin-mineral fusion has been our overall bestseller when it came out five years ago.
[01:24:57.652 --> 01:25:07.235]  Most people love it, it tastes so good, it makes them feel great, boosts your immune system, all the essential vitamins and minerals of a high-quality, organic type you can absorb, a natural type.
[01:25:07.995 --> 01:25:11.777]  With the key amino acids, it's back in stock at InfoWarStore.com.
