[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[00:59:22.729 --> 00:59:25.813]  It's pretty decentralized and these guys are not going anywhere.
[00:59:25.834 --> 00:59:28.097]  They have no intention of going anywhere because they have nowhere to go back to.
[00:59:28.437 --> 00:59:30.080]  If this doesn't succeed, they lose everything.
[00:59:30.120 --> 00:59:30.781]  They lose their jobs.
[00:59:30.801 --> 00:59:31.862]  They lose their businesses.
[00:59:32.724 --> 00:59:33.345]  They can't go home.
[00:59:33.505 --> 00:59:36.609]  They're removing the wheels off of the trucks so they can't be towed anywhere.
[00:59:38.070 --> 00:59:41.469]   it's a it is another trolling the police because they're they're stealing jerrycans guys are
[00:59:41.469 --> 00:59:44.380]  going around with empty uh... empty fuel cans with uh...
[00:59:44.380 --> 00:59:49.040]   you know writing on it says not gas you know and they're trying to take it people arrest
[00:59:49.040 --> 00:59:52.650]   people for carrying gas around uh... it's it's just desperation at this point and that
[00:59:52.650 --> 00:59:56.150]   there's no moves the left of the that the state has it isn't gonna make this worse and by
[00:59:56.150 --> 01:00:01.300]   the way in that crowd of a hundred thousand people that fluctuates in size really wanted to
[01:00:01.300 --> 01:00:04.880]   burn down the city they could have been the people really want to take over we can we're not
[01:00:04.880 --> 01:00:08.621]   the criminals we're not the left running around burning everything down and shooting
[01:00:08.621 --> 01:00:13.259]   police but if they i want to come back and talk about this if they do start attacking
[01:00:13.259 --> 01:00:17.750]   people they fight back then snipers shoot citizens that's the way these dictatorships always
[01:00:17.750 --> 01:00:23.060]   fall trudeau is gonna i guess get the dictator fate he keeps looking for you know after ten days
[01:00:23.060 --> 01:00:25.150]  he's emerged from hiding uh...
[01:00:25.150 --> 01:00:30.110]   and now some of his own protective detail in the royal mount of police have been resigning
[01:00:30.110 --> 01:00:40.785]   saying he's a tyrant So, you talk about moral courage, these people there, these truckers are the tip of the human spear worldwide, and it's causing a chain reaction, and we salute them.
[01:00:41.446 --> 01:01:04.143]   From Canada, from Ottawa, the capital up there, beautiful area, and it is even more beautiful, the masses of people that are there, on the ground, peacefully honking, And letting their voices be heard and saying, we don't want to be locked down, we don't want medical IDs, we don't want forced injections, we don't want to wear masks, we don't want to be locked in our houses under the Great Reset's martial law.
[01:01:04.763 --> 01:01:12.588]  You have the nastiest of all the world leader puppets, Trudeau, admitting he is a minion of Klaus Schwab and follows the Great Reset and Build Back Better.
[01:01:13.028 --> 01:01:17.991]  And that this is good that there's a lockdown to cut our carbon, and that he's introducing everyone to the new way of life.
[01:01:18.291 --> 01:01:19.512]  This is a damn cult!
[01:01:20.092 --> 01:01:24.076]  And then you have Schwab bragging that Tudor is the greatest example.
[01:01:24.356 --> 01:01:27.179]  We have almost his whole cabinet under our control.
[01:01:27.359 --> 01:01:29.621]  We have half the world cabinets under our control.
[01:01:30.301 --> 01:01:37.468]  He brags on his own site, Klaus Schwab, head of the Bilderberg Group, that they control all these cabinets.
[01:01:37.908 --> 01:01:39.029]  So this is insane.
[01:01:39.069 --> 01:01:40.170]  This is a new type of warfare.
[01:01:40.510 --> 01:01:51.478]   So Jeremy McKenzie from RagingDissident.com You also told my producer, I don't know if you want to get into this on air, but you've actually been followed around, stalked, a lot of crazy stuff going on.
[01:01:52.339 --> 01:01:54.500]  It's now in the news what you talked about last night.
[01:01:54.520 --> 01:01:58.061]  They're talking about cutting the cell stuff downtown.
[01:01:58.882 --> 01:02:05.505]  If the police move, and they're talking about using the military as well, how do you expect this to unfold and what are your sources telling you?
[01:02:06.124 --> 01:02:07.546]  There is a lot of great guys downtown.
[01:02:07.566 --> 01:02:09.008]  They're wearing their medals and stuff.
[01:02:09.429 --> 01:02:10.450]  Thanks to those guys for showing up.
[01:02:11.031 --> 01:02:12.553]  That is part of the plan.
[01:02:12.573 --> 01:02:14.416]  That's what they're hearing.
[01:02:14.436 --> 01:02:15.517]  That's what the guys are saying.
[01:02:15.718 --> 01:02:20.424]  They're right next door to where these plans are being talked about.
[01:02:20.464 --> 01:02:21.305]  They would cut cell service.
[01:02:21.906 --> 01:02:24.649]  I would encourage anybody, you know, your phone is your greatest weapon and your greatest defense.
[01:02:24.669 --> 01:02:25.650]  You know, film everything.
[01:02:25.670 --> 01:02:29.033]  You're not going to be able to live stream anything, probably, you know, if they jam everything.
[01:02:29.353 --> 01:02:34.238]  Film as much as you can and try and get that out so the world sees what happens and that's really the M.O.
[01:02:34.278 --> 01:02:34.418]  here.
[01:02:34.718 --> 01:02:35.719]  Nobody here is going to be violent.
[01:02:35.779 --> 01:02:36.640]  Nobody wants violence.
[01:02:37.580 --> 01:02:41.062]  We're showing and demonstrating to the world, you know, how good the people of this country really are.
[01:02:41.082 --> 01:02:45.144]  I've never seen this kind of, you know, this level of unity and compassion for each other.
[01:02:45.164 --> 01:02:46.925]  I don't know how many people I've hugged in the last few days.
[01:02:46.965 --> 01:02:47.486]  It's insane!
[01:02:48.026 --> 01:02:51.828]  And, you know, if they want to do this, you know, I've always said, you know, force a tyrant to act like one.
[01:02:52.572 --> 01:02:59.760]  And if they want to send riot cops in here in full gear and tear gas a bunch of families and kids and lock people up for what?
[01:02:59.820 --> 01:03:00.942]  Wanting their lives back?
[01:03:00.982 --> 01:03:09.771]  For wanting to not have their jobs and their careers destroyed and want to be able to see their dying relatives in hospitals and not be robbed of the dignity of going to their own funerals and this kind of thing?
[01:03:09.811 --> 01:03:11.613]  Is that really what these people want to do?
[01:03:11.934 --> 01:03:12.735]  The whole world's watching.
[01:03:13.955 --> 01:03:15.656]  They've got no moves left.
[01:03:15.696 --> 01:03:28.221]  They can give the people what they want, and like I said, they want the mandates gone, the testing, the passports, but more than that, they're here petitioning on behalf of every single person, all the first responders, all of the police, nurses, doctors, anyone that's been let go as a result of these mandates.
[01:03:28.241 --> 01:03:29.601]  They want their jobs back.
[01:03:29.661 --> 01:03:31.922]  Those are the demands, and they're not unreasonable.
[01:03:32.042 --> 01:03:34.063]  Other countries have already, you know, dropped all of this.
[01:03:34.543 --> 01:03:37.464]  Many other countries have dropped this stuff because they know it's ridiculous.
[01:03:37.564 --> 01:03:38.585]  The writing's on the wall here.
[01:03:39.225 --> 01:03:47.449]  And these guys, you know, probably because they are so personally invested in this scheme, this campaign, whatever it is you want to call it, they're very reluctant to let it go.
[01:03:48.029 --> 01:03:50.491]  And it's, you know, they're malignant narcissists that are backed into a corner.
[01:03:50.531 --> 01:03:53.152]  So that's the worrying part, is how far are they willing to push this?
[01:03:53.192 --> 01:03:56.974]  And I'm going to hope and, you know, hope to God that...
[01:03:57.814 --> 01:04:18.446]   You know the better angels of our nature as they say that when push comes to shove and they order if they order these cops to go in there because they see us and we talk to them every day on the street and they know it's ridiculous they know there's they said they've never seen a protest you know as peaceful and as wonderful as this is you want to send these guys in there I'm gonna hope that you know maybe some of them maybe a lot of them maybe they just refuse to do it I hear you, brother.
[01:04:18.486 --> 01:04:20.667]  And listen, I'm not mad at you or mad at anybody.
[01:04:21.188 --> 01:04:25.831]  I'm really pissed off about China and Russia and Putin threatening to nuke and nuclear war.
[01:04:25.851 --> 01:04:30.375]  So I'm actually really on edge about that and just mad at everything and really pissed about what's happening there.
[01:04:30.395 --> 01:04:33.117]  I think my stress level's gone to another level here.
[01:04:33.157 --> 01:04:34.258]  I'm having trouble not blowing up.
[01:04:34.538 --> 01:04:40.903]  That's why I had to take off some time last week and a few weeks ago, because I'm just so pissed off and I'm trying to not get angry.
[01:04:40.923 --> 01:04:43.865]  How are you guys staying so friendly and peaceful?
[01:04:44.185 --> 01:04:46.367]  Because watching crap like this would make me get really mad.
[01:04:47.704 --> 01:04:51.844]   We have been for years and you know what, it was looking pretty dark there for a while,
[01:04:51.844 --> 01:04:55.083]   but the images and stuff you're seeing, to see so many people come, I get emotional.
[01:04:55.083 --> 01:04:56.563]  It's hard to even talk about it.
[01:04:56.563 --> 01:05:01.085]   I bought a Canadian flag back there for the first time in years.
[01:05:01.085 --> 01:05:05.764]   And to see this, to see the country come back to life, I've compared it to like, you have a dying man
[01:05:05.764 --> 01:05:09.965]   or a brother on the battlefield who's got no heartbeat and you're trying to do everything to save him.
[01:05:09.965 --> 01:05:12.444]   And that's the question I wanted to ask you 'cause you brought this up years ago
[01:05:12.444 --> 01:05:16.804]   when you were on the show talking about tyranny in Canada, that as a veteran, you had some parallels
[01:05:16.804 --> 01:05:20.764]   and how upsetting it was to go, supposedly fight for freedom overseas,
[01:05:20.764 --> 01:05:22.804]   but then come back to your own country and see this happening.
[01:05:22.804 --> 01:05:24.264]  What's your take on that?
[01:05:24.264 --> 01:05:27.444]  Yeah, well now we're the bad guys, I said.
[01:05:27.244 --> 01:05:30.987]  We're the criminals now, because we believe in nationalism.
[01:05:31.027 --> 01:05:35.150]  We believe in our people and our culture and our history and they're trying to take all of that away.
[01:05:35.471 --> 01:05:39.434]  They're axing people like Don Cherry for sticking up for veterans on Veterans Day.
[01:05:39.454 --> 01:05:40.014]  This kind of thing.
[01:05:40.455 --> 01:05:48.261]  It's so sad, but now, like that guy who's dying on the field, you defib him and his heart comes back and he comes back to life.
[01:05:48.782 --> 01:05:50.303]  And all of a sudden, you're back in the game.
[01:05:50.343 --> 01:05:52.044]  You're seeing these people from all over the country.
[01:05:52.064 --> 01:05:53.025]  There's blockades everywhere.
[01:05:54.526 --> 01:05:56.108]  Demonstrations in cities all over the country.
[01:05:56.708 --> 01:05:59.591]  So, again, this isn't just Ottawa.
[01:05:59.992 --> 01:06:04.436]  The Windsor, the bridge there between Detroit and Ontario, there's a situation going on down there.
[01:06:04.877 --> 01:06:07.719]  Everything they do is only going to dig their own grave.
[01:06:07.860 --> 01:06:14.586]  Everyone is watching this and they know, they can see, there's 10,000 cell phones downtown taking pictures and video, getting it out to the world.
[01:06:14.867 --> 01:06:15.968]  The truth is out there.
[01:06:16.048 --> 01:06:17.609]  Everyone that cares to look is going to see it.
[01:06:17.629 --> 01:06:19.571]   They know there's no There's no Nazis down there.
