[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[01:15:39.770 --> 01:15:47.172]  I mean, the fact that this is going to make Trump explode in popularity, then I guess we're just guessing at why they would do something so reckless.
[01:15:47.172 --> 01:15:50.333]  Alan Dershowitz, our guest, riding shotgun is Robert Barnes.
[01:15:50.333 --> 01:15:51.493]  I'm Alex Jones.
[01:15:51.493 --> 01:15:52.753]  Everybody, you know, tune in now.
[01:15:52.753 --> 01:15:53.874]  This is historic.
[01:15:53.874 --> 01:15:54.794]  This is important.
[01:15:58.643 --> 01:16:02.081]  The most banned man in America, Alex Jones!
[01:16:06.806 --> 01:16:08.147]  I want you all to know something.
[01:16:08.147 --> 01:16:10.108]  Alex Jones was right.
[01:16:10.108 --> 01:16:13.650]  Alex is right about far more than is wrong.
[01:16:13.650 --> 01:16:16.572]  Alex has been right on for over a decade.
[01:16:16.572 --> 01:16:21.035]  I don't care how you slice it, dice it, flip it up or rub it down.
[01:16:21.035 --> 01:16:23.236]  Alex Jones was right.
[01:16:23.236 --> 01:16:26.759]  Think about how frustrated we are if you've been awake for a year or two.
[01:16:26.759 --> 01:16:30.221]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[01:16:30.481 --> 01:16:33.363]  Alex Jones called this years ago.
[01:16:33.363 --> 01:16:34.383]  Years ago.
[01:16:34.383 --> 01:16:38.446]  Alex Jones never bought the Russia hoax, not for a second.
[01:16:38.446 --> 01:16:40.968]  You are one of the great thinkers of this.
[01:16:40.968 --> 01:16:43.429]  You are a martyr to the First Amendment.
[01:16:43.429 --> 01:16:46.551]  The government fears Alex Jones.
[01:16:46.551 --> 01:16:51.214]  That's why the globalists hate me, is because I'm exposing their corporate worldwide tyranny.
[01:16:58.775 --> 01:17:00.857]  I'm a huge believer in information.
[01:17:00.857 --> 01:17:04.160]  I watch InfoWars every day and follow Alex Jones closely.
[01:17:04.160 --> 01:17:04.741]  You know why?
[01:17:04.741 --> 01:17:06.202]  He can put you ahead of the curve.
[01:17:06.202 --> 01:17:09.846]  And he's been demonized as a conspiracy theorist.
[01:17:09.846 --> 01:17:13.369]  Think about how frustrated we are if you've been awake for a year or two.
[01:17:13.369 --> 01:17:16.753]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[01:17:18.806 --> 01:17:21.809]  Alex has been right on for over a decade.
[01:17:21.809 --> 01:17:23.010]  This is reality.
[01:17:23.010 --> 01:17:24.832]  It's just pancakes.
[01:17:24.832 --> 01:17:27.395]  Truth is stranger than fiction.
[01:17:27.395 --> 01:17:29.517]  The revolution of peaceful information is coming.
[01:17:29.517 --> 01:17:32.340]  And when it comes time, you people are going to be brought to punishment.
[01:17:32.340 --> 01:17:33.541]  You're lying to the public.
[01:17:33.541 --> 01:17:34.582]  It's disgusting.
[01:17:34.582 --> 01:17:36.705]  The media continues to misrepresent.
[01:17:37.225 --> 01:17:37.885]  What I've said.
[01:17:37.885 --> 01:17:40.907]  He may be America's best known conspiracy theorist.
[01:17:40.907 --> 01:17:44.890]  Alex Jones has the largest audience in the country.
[01:17:44.890 --> 01:17:46.851]  Bigger than any of the networks.
[01:17:46.851 --> 01:17:48.972]  The biggest megaphone in the country.
[01:17:48.972 --> 01:17:51.193]  We're gonna get fired up about the real things!
[01:17:51.193 --> 01:17:52.234]  The things that matter!
[01:17:56.897 --> 01:17:57.897]  Burn in hell, New World Order!
[01:18:13.962 --> 01:18:16.924]  What it does is essential, but read about it at Infomercial.com.
[01:18:16.924 --> 01:18:20.065]  And now, the fourth toothpaste designed by my dad.
[01:18:20.065 --> 01:18:21.386]  The last two were big hits.
[01:18:21.386 --> 01:18:22.867]  This one is really special.
[01:18:22.867 --> 01:18:29.250]  It's turmeric concentrate with a bunch of other essential oils and so much more to take your mouth's health to the next level.
[01:18:29.250 --> 01:18:37.054]  We also have high quality ashwagandha root for your libido, your stamina, your testosterone with black pepper extract to accelerate it as a pill.
[01:18:37.054 --> 01:18:39.935]  And we have ashwagandha root gummies as well.
[01:18:39.935 --> 01:18:41.156]  Very strong, very powerful.
[01:18:41.636 --> 01:18:44.619]  Now, in stock at InfoWarsTore.com.
[01:18:44.619 --> 01:18:48.684]  Go there, experience these great products and others, and fund the InfoWar.
[01:18:48.684 --> 01:18:51.607]  The only way we fail is not taking action.
[01:18:51.607 --> 01:18:52.248]  God bless you.
[01:18:52.248 --> 01:18:57.053]  Now, please visit InfoWarsTore.com and experience these powerful products for yourself.
[01:19:00.939 --> 01:19:11.350]  I'm not talking to the viewers and listeners that have gone to info or store.com and gotten the great products that enrich your life, that empower your immune system and your body and keep us on air.
[01:19:11.350 --> 01:19:15.695]  I am humbly, hand in hand, talking to the viewers and listeners that have tuned in
[01:19:16.255 --> 01:19:19.697]  Many of you, for years, have never gone to InfoWorksShore.com.
[01:19:19.697 --> 01:19:28.501]  We know the vast, vast, vast, vast majority of you never actually go to InfoWorksShore.com and never experience these great products and never fund the operation.
[01:19:28.501 --> 01:19:31.563]  Sure, you share a link, you share an article, you tell folks about the show.
[01:19:31.563 --> 01:19:32.923]  That's great and I thank you.
[01:19:32.923 --> 01:19:34.444]  But we need funds to operate.
[01:19:34.444 --> 01:19:43.288]  Plus, we've got really great products that do amazing things for people like our CBD oil, and our Fizzy Magnesium, and our Sleep Aid, and our Nitric Oxide, and our Real Red Pill Plus.
[01:19:43.288 --> 01:19:44.769]  All of these are really great products.
[01:19:44.889 --> 01:19:47.530]  They keep us on air, plus you're missing out on these products.
[01:19:47.530 --> 01:20:00.435]  So get off the bench, get in the game, step to the plate, and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[01:20:00.435 --> 01:20:06.318]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:16.983 --> 01:20:19.485]  All right, welcome back to the Alex Jones Show, live Friday edition.
[01:20:19.485 --> 01:20:24.948]  We have the top lawyer in the country, hands down, Alan Dershowitz with the new book, Get Trump.
[01:20:24.948 --> 01:20:26.669]  Skyhorse Publishing.
[01:20:26.669 --> 01:20:32.793]  And Robert Barnes is riding shotgun with us, another successful, well-known lawyer, who's going to have some of his own questions as well.
[01:20:32.793 --> 01:20:36.595]  So you heard my point earlier, but I don't want to belabor that.
[01:20:36.595 --> 01:20:45.301]  All I'm getting at is we're seeing a massive backlash, and we know the feds, going to your point, did not indict Trump on these same, as you say, non-
[01:20:46.381 --> 01:20:57.086]  I guess I'm trying to just read minds here, but I just don't see how such an obviously explosive decision was made for the first time in U.S.
[01:20:57.086 --> 01:20:57.486]  history.
[01:20:57.486 --> 01:21:02.469]  And I think we can probably chalk it up just to the bubble that he's in in New York City.
[01:21:02.469 --> 01:21:06.211]  But how do you see this as a citizen unfolding?
[01:21:06.211 --> 01:21:09.032]  And I'd like you to get into all the other facets you'd like to, Mr. Dershowitz.
[01:21:10.486 --> 01:21:13.187]  Well, I don't think it's necessarily just a bubble.
[01:21:13.187 --> 01:21:15.208]  I think he wants to be re-elected.
[01:21:15.208 --> 01:21:16.168]  He made a promise.
[01:21:16.168 --> 01:21:17.808]  He promised he would get Trump.
[01:21:17.808 --> 01:21:21.910]  And if he doesn't get Trump, he loses his re-election.
[01:21:21.910 --> 01:21:23.330]  He has gotten contributions.
[01:21:23.330 --> 01:21:27.632]  We know, reportedly, he got a half a million dollars from George Soros.
[01:21:27.632 --> 01:21:31.873]  And whether he got a call from Soros or just anticipated that Soros might cut back
[01:21:32.573 --> 01:21:38.997]  On his contributions, if he doesn't do it, this can't be based on objective legal standards.
[01:21:38.997 --> 01:21:44.201]  Nobody else would ever be indicted for these kinds of absurd non-crime.
[01:21:44.201 --> 01:21:47.182]  So, plainly, he succumbed to pressure.
[01:21:47.182 --> 01:21:55.948]  He was pressured by his two former assistant district attorneys, one of whom wrote a book, saying that they ought to go after Trump.
[01:21:55.948 --> 01:21:59.610]  But he resisted that pressure initially, and then he succumbed to it.
[01:22:01.151 --> 01:22:12.100]  I don't know whether he got pressured from other people as well, but this is not a righteous, objective, neutral application of the law and the facts.
[01:22:12.100 --> 01:22:13.821]  This is something very different.
[01:22:13.821 --> 01:22:16.463]  Keep an open mind until you see the indictment.
[01:22:16.463 --> 01:22:18.725]  Remember the indictment hasn't been leaked.
[01:22:18.725 --> 01:22:21.828]  The fact of the indictment has been leaked, and by the way,
[01:22:22.463 --> 01:22:25.944]  The District Attorney Bragg should be investigating who leaked it.
[01:22:25.944 --> 01:22:27.865]  It's in his building.
[01:22:27.865 --> 01:22:29.225]  It's under his nose.
[01:22:29.225 --> 01:22:30.846]  It's in his watch.
[01:22:30.846 --> 01:22:33.427]  And is he investigating who made the leak?
[01:22:33.427 --> 01:22:42.570]  A leak in New York by grand jurors or by members of Bragg's staff constitutes a class E felony subject to a year to five years in prison.
[01:22:42.570 --> 01:22:46.331]  So I think it's important to know whether Bragg is in fact investigating this leak.
[01:22:47.819 --> 01:22:48.600]  Wow.
[01:22:48.600 --> 01:22:49.780]  Again, you're the legal scholar.
[01:22:49.780 --> 01:22:53.943]  I'd like you to go wherever you want here, but just briefly bringing in Barnes here.
[01:22:53.943 --> 01:22:56.125]  He'll be interviewing and coming up in the next few segments.
[01:22:56.125 --> 01:23:02.149]  Robert, you've got Alan Dershowitz here with the case of the, not the century, this is the case.
[01:23:02.149 --> 01:23:02.709]  I mean, in U.S.
[01:23:02.709 --> 01:23:05.351]  history, everybody's admitting it.
[01:23:05.351 --> 01:23:06.551]  What should I be asking Dershowitz?
[01:23:06.551 --> 01:23:07.132]  I'm glad you're here.
[01:23:08.728 --> 01:23:10.470]  Yeah, Professor.
[01:23:10.470 --> 01:23:27.888]  Can you describe for people, I know the courts have sadly not meaningfully enforced it in my view, but that there is a limit on prosecutorial discretion in the Constitution colloquially known as selective prosecution under the First Amendment enforceable through the Fourteenth Amendment against the states.
[01:23:28.388 --> 01:23:42.792]  Do you think President Trump has a grounds to bring a motion to dismiss for selective prosecution and can you explain to folks out there what that is and what that entails and that our Constitution does in fact have limits on this kind of excess of prosecutorial discretion?
