[00:00:00.970 --> 00:00:02.570]  150 billion for Ukraine.
[01:14:58.620 --> 01:14:59.801]  Big crowds for Gabbard.
[01:15:00.141 --> 01:15:01.682]  Huge crowds for Bernie Sanders.
[01:15:02.082 --> 01:15:03.183]  Big crowds for Yang.
[01:15:03.944 --> 01:15:08.226]  Even Marianne Williamson had some people out there waving around crystal balls and crystal shards.
[01:15:09.187 --> 01:15:11.429]  But not Biden, but somehow he wins every time!
[01:15:11.469 --> 01:15:13.070]  Somehow Hillary Clinton wins every time.
[01:15:14.588 --> 01:15:17.769]  Not Bernie Sanders getting the actual numbers, getting the actual rallies.
[01:15:18.389 --> 01:15:20.210]  But the truth is Bernie Sanders doesn't want to win.
[01:15:20.570 --> 01:15:23.171]  He wants to take your millions of dollars and then never work.
[01:15:23.891 --> 01:15:25.132]  He's a bum.
[01:15:26.572 --> 01:15:29.854]  But this is John Fetterman, the new ideal candidate for the Democrats.
[01:15:30.274 --> 01:15:37.436]  Mentally incapacitated, sitting in a hospital bed on life support, and somehow still voting for all the Democrat Party policies.
[01:15:39.217 --> 01:15:41.178]  When he can't talk, he can't think, he can't hear.
[01:15:42.335 --> 01:15:45.517]  This is the new face of the Democrat Party.
[01:15:45.537 --> 01:15:48.499]  You know, he ran around chasing black people with a shotgun in his neighborhood.
[01:15:49.300 --> 01:15:51.221]  Just good old-fashioned Democrat racism.
[01:15:53.062 --> 01:15:57.825]  Jim Jordan asks why the Department of Justice hasn't appointed a special counsel for Hunter Biden.
[01:15:57.865 --> 01:16:00.587]  Well, I mean, we all know the answer to that.
[01:16:01.748 --> 01:16:02.028]  Right?
[01:16:03.609 --> 01:16:04.910]  Obviously, white privilege!
[01:16:05.831 --> 01:16:05.931]  Oh!
[01:16:08.012 --> 01:16:08.152]  Oh!
[01:16:09.553 --> 01:16:10.454]  Is it white privilege?
[01:16:12.392 --> 01:16:15.495]  Or is it Democrat privilege?
[01:16:17.637 --> 01:16:17.877]  Hmm.
[01:16:19.438 --> 01:16:21.460]  I wonder what the good liberals out there are thinking.
[01:16:21.560 --> 01:16:27.846]  Why has the Department of Justice not appointed a special counsel for Hunter Biden?
[01:16:29.594 --> 01:16:31.014]  It must be his white privilege.
[01:16:31.194 --> 01:16:36.135]  It must be Hunter Biden's affluence and white privilege that's keeping him from being above the law.
[01:16:36.155 --> 01:16:38.796]  I mean, after all, we've seen the laptop.
[01:16:39.076 --> 01:16:40.136]  We've seen the images.
[01:16:40.196 --> 01:16:41.176]  We've seen the emails.
[01:16:41.216 --> 01:16:42.457]  We've seen the texts.
[01:16:42.657 --> 01:16:44.817]  10% for Pedo Joe.
[01:16:45.257 --> 01:16:46.738]  10% for the big guy, Pedo Joe.
[01:16:48.118 --> 01:16:51.699]  Why isn't there a special counsel to investigate Hunter Biden?
[01:16:53.179 --> 01:16:54.439]  Is it white privilege?
[01:16:55.679 --> 01:16:58.160]  Maybe Hunter Biden is like the drug dealer for D.C.
[01:17:00.325 --> 01:17:02.347]  I mean, I'm just trying to make it make sense here.
[01:17:03.107 --> 01:17:07.551]  White privilege, Democrat Party privilege, Hunter Biden the drug dealer, maybe he's the pimp too?
[01:17:07.571 --> 01:17:09.572]  I don't know.
[01:17:10.754 --> 01:17:11.995]  I mean, man, just look at him there.
[01:17:12.255 --> 01:17:13.095]  Flawing his stuff.
[01:17:13.756 --> 01:17:15.636]  How old are those girls in that video, by the way?
[01:17:15.656 --> 01:17:17.177]  Did we ever get an age verification there?
[01:17:17.918 --> 01:17:23.720]  How's Hunter Biden's, um, how's Hunter Biden's son doing that he doesn't invite to the Christmas dinners or the White House?
[01:17:23.901 --> 01:17:24.501]  How's that son?
[01:17:24.521 --> 01:17:25.401]  Does Joe Biden know about that?
[01:17:26.302 --> 01:17:28.843]  So we, uh, I mean, the stories just continue.
[01:17:28.903 --> 01:17:38.469]   Massive fire has just broken out in Buffalo, New York, and it may Be deadly at this point.
[01:17:38.889 --> 01:17:42.991]  Massive fire in Buffalo, New York could potentially be deadly.
[01:17:43.011 --> 01:17:45.112]  It's just every day the new domestic disasters.
[01:17:46.053 --> 01:17:47.733]  This is exactly what we warned would happen.
[01:17:49.794 --> 01:17:53.056]  Under Biden's leadership, but it's not just about that.
[01:17:53.136 --> 01:17:54.777]  I mean, that's just that's just a moment.
[01:17:54.817 --> 01:17:55.797]  That's just an example.
[01:17:55.957 --> 01:17:57.738]  It's just this is the collapse of the West.
[01:17:58.358 --> 01:18:01.060]  This is the designed collapse and destruction of America.
[01:18:02.020 --> 01:18:04.922]  And this is what's happened because people have been so dumbed down.
[01:18:06.156 --> 01:18:11.981]  And now are just so incompetent that you're just going to see this every day.
[01:18:14.082 --> 01:18:14.663]  And it's sad.
[01:18:15.783 --> 01:18:17.985]  It's sad to watch America collapse like this.
[01:18:18.065 --> 01:18:20.287]  It's sad to watch our cities go to hell like this.
[01:18:21.668 --> 01:18:25.711]  And these issues are just going to come to a head and get even more obvious and worse.
[01:18:26.932 --> 01:18:29.954]  But my goodness, you want to talk about brainwashing.
[01:18:31.735 --> 01:18:33.357]  You want to talk about propaganda.
[01:18:34.659 --> 01:18:40.764]  Matt Baker out in San Diego has just found something, I mean, wow.
[01:18:42.245 --> 01:18:54.275]  At a gas station, they have a Putin effigy that you can fight and beat up, I guess for a discount at the pump?
[01:18:56.116 --> 01:18:58.498]  Matt Baker just sent me this video, so I watched it.
[01:19:00.020 --> 01:19:01.181]  Do we have it ready to go, guys?
[01:19:02.569 --> 01:19:06.413]  Watch this from a San Diego gas station.
[01:19:06.453 --> 01:19:07.654]  Matt Baker reporting.
[01:19:09.255 --> 01:19:09.896]  So here we go.
[01:19:09.936 --> 01:19:12.038]  The mind control knows no bounds.
[01:19:12.178 --> 01:19:18.884]  We have a dummy which looks like some kind of BDSM deal here with Putin's face on it.
[01:19:18.924 --> 01:19:23.428]  You get to punch for a minimum donation of one dollar.
[01:19:24.409 --> 01:19:29.960]   You get to punch You're most hated with your moment of rage.
[01:19:30.541 --> 01:19:33.083]  Very 1984 moment of rage action.
[01:19:33.604 --> 01:19:34.004]  Putin!
[01:19:34.444 --> 01:19:35.205]  You doing alright?
[01:19:35.445 --> 01:19:36.386]  You doing alright, buddy?
[01:19:36.827 --> 01:19:39.809]  Everybody's hating on Putin, but you know, he's doing alright.
[01:19:40.510 --> 01:19:42.732]  You know, taking on the New World Order here.
[01:19:43.933 --> 01:19:45.935]  So, uh, you're alright, Putin.
[01:19:50.694 --> 01:19:52.355]  And they got a little donation box there.
[01:19:52.415 --> 01:19:54.017]  Punch poop, donate here.
[01:19:55.198 --> 01:19:56.079]  And people actually do it.
[01:19:56.119 --> 01:19:58.442]  They go punch a little dummy bag there.
[01:19:59.923 --> 01:20:02.226]  I mean, what in the hell is going on in this country, man?
[01:20:04.368 --> 01:20:05.469]  What in the hell is going on?
[01:20:07.489 --> 01:20:10.170]  Hey, I punched Putin today!
[01:20:12.451 --> 01:20:14.312]  I punched a beanbag!
[01:20:14.412 --> 01:20:17.734]  I punched Putin in the mouth!
[01:20:17.754 --> 01:20:19.294]  I'm a tough guy!
[01:20:19.934 --> 01:20:22.175]  I fight Vladimir Putin at a gas station!
[01:20:22.195 --> 01:20:25.377]  Well, it's a dummy wearing a Putin mask, but I'm tough!
[01:20:26.377 --> 01:20:27.018]  I'm tough!
[01:20:27.638 --> 01:20:29.078]  It only cost me a dollar!
[01:20:29.659 --> 01:20:32.540]  I can barely afford it in Biden's America, but it's so worth it!
[01:20:33.300 --> 01:20:34.401]  To punch Putin!
[01:20:36.874 --> 01:20:37.954]  I got to punch Putin!
[01:20:38.855 --> 01:20:40.495]  I'm tough, I'm strong, yeah!
[01:20:40.895 --> 01:20:42.556]  I beat Putin up!
[01:20:45.577 --> 01:20:46.057]  Freaks.
[01:20:47.557 --> 01:20:48.458]  Absolute freaks.
[01:20:50.278 --> 01:20:55.980]  But see, this is what it's really all about.
[01:20:58.381 --> 01:21:05.843]  World Economic Forum panelists boasts the globalists are working on tracking where you shop, what you eat, where you travel, and how you travel.
[01:21:07.571 --> 01:21:08.973]  Let me just break this down for you.
[01:21:10.495 --> 01:21:17.944]  And I hope that this video, ten years from now, is not seen as prophetic.
[01:21:19.566 --> 01:21:26.094]  But unless we change the course of human history, this is exactly what life on planet Earth in America is going to be like in ten years.
[01:21:27.938 --> 01:21:29.119]  And I got a little taste of this.
[01:21:29.199 --> 01:21:30.441]  It's something I'd never seen before.
[01:21:30.481 --> 01:21:35.306]  Apparently this already existed, I guess, at some Amazon stores or maybe Whole Foods stores.
[01:21:36.247 --> 01:21:42.933]  I'd never seen this before and I talked about it the other day at a soccer game here where you walk into this market.
[01:21:43.194 --> 01:21:47.959]  It's like a little market with a bunch of refrigerators for drinks and stands for popcorn and chips and such.
[01:21:49.249 --> 01:22:02.250]  And there's a little doorway, a little arm like a subway, and you put your chip, your debit card chip, on the chip reader, and the doorway opens, and then there's a bunch of facial recognition and scanning going on.
[01:22:03.507 --> 01:22:20.741]  That follows your movements, and traces and tracks you, that just put your card in, and then whatever you grab, whatever beverage you grab, you grab a water, a soda, a beer, a bag of popcorn, the AI, with your facial recognition, sees what you grabbed, and charges your card.
[01:22:22.816 --> 01:22:46.167]  Now in the future, this is what every storefront is going to look like, and you'll have a microchip implanted probably in your wrist or in your hand or something, and you'll flash your little microchip, and if you've got good social credit, then it'll let you in the store if you've taken your most recent death jab, if you've taken your most recent shot of poison, and you know, pharmaceutical poison.
[01:22:47.048 --> 01:22:48.549]  As long as you're in good social standing.
[01:22:48.929 --> 01:22:49.289]  Okay?
[01:22:50.029 --> 01:22:52.230]  You flash your microchip.
[01:22:52.370 --> 01:22:53.591]  And then the door opens up for you.
[01:22:55.712 --> 01:22:57.432]  And then you get to go about your shopping.
[01:22:57.652 --> 01:22:58.673]  Oh, you're getting shopping.
[01:22:58.753 --> 01:22:59.573]  Oh, it's so convenient.
[01:22:59.613 --> 01:23:00.053]  It's so great.
[01:23:00.414 --> 01:23:02.494]  And hey, by the way, I'm all about convenience.
[01:23:03.255 --> 01:23:04.255]  Let me be clear here.
[01:23:04.395 --> 01:23:05.396]  I'm not a Luddite.
[01:23:05.996 --> 01:23:10.558]  I'm okay with technological advancements making our lives easier.
[01:23:10.578 --> 01:23:15.100]  I am perfectly fine with technological advancements making our lives easier.
[01:23:16.275 --> 01:23:16.895]  Absolutely.
[01:23:18.176 --> 01:23:20.398]  But see, it's not about making our lives easier.
[01:23:20.698 --> 01:23:22.579]  It's about making us controllable.
[01:23:23.580 --> 01:23:25.421]  That's what it's about.
[01:23:25.521 --> 01:24:06.127]   And so, you flash your microchip, you get access to the store, you flash your microchip, you can turn your car on, you flash your microchip, you can go to the doctor, but oh, if you're not in good social standing, if you didn't take your most recent injection, if you didn't take your most recent pharmaceutical pill, If you didn't go to your gay sensitivity training class, if you said fag, well see, now your social credit is bad, and you've been dinged, and now you go to the grocery store and you slide your wrist and your microchip over the scanner and it says, and it gives you a little red mark and it says, sorry, no food for you today.
[01:24:06.607 --> 01:24:08.288]  You said a bad word.
[01:24:08.868 --> 01:24:10.989]  Sorry, no access for you today.
[01:24:11.669 --> 01:24:13.270]  You didn't take your vaccine.
[01:24:13.350 --> 01:24:14.751]  You need to go get a booster.
[01:24:16.218 --> 01:24:17.899]  Oh, you want to fill your car up with gas?
[01:24:18.079 --> 01:24:19.920]  Oh, sorry, you need to take a shot.
[01:24:20.420 --> 01:24:21.541]  You want to start your car?
[01:24:22.001 --> 01:24:22.762]  Boop, boop, boop.
[01:24:22.982 --> 01:24:25.283]  Oh, sorry, you can't start your car today.
[01:24:25.563 --> 01:24:27.385]  You've got a bad social credit score.
[01:24:29.566 --> 01:24:33.228]  What's the name of that episode in Black Mirror that's all about this?
[01:24:34.148 --> 01:24:36.450]  With Ron Howard's daughter?
[01:24:38.291 --> 01:24:38.831]  Forget her name.
[01:24:40.992 --> 01:24:41.553]  Black Mirror.
[01:24:43.514 --> 01:24:45.215]  Like Season 3, Episode 1, I think.
[01:24:47.486 --> 01:24:48.767]  Called Nosedive, thank you.
[01:24:49.147 --> 01:24:59.795]  And it's all about this woman who has a bad day and her social credit score, which was pretty good, she really takes her social credit score seriously.
[01:24:59.835 --> 01:25:08.942]  She's always nice to everybody, always doing exactly what she's told to do and walking between the lines and smiling even if she's bad because, gotta get that digital credit score up so I can get access and live my life.
[01:25:10.483 --> 01:25:16.828]  And then she has one bad day and her social credit score goes to zero and she can't drive a car, she can't rent a car, she can't buy food, her whole life gets destroyed.
[01:25:18.618 --> 01:25:19.499]  Yeah, that's the future!
[01:25:23.222 --> 01:25:25.383]  And that's why it's all synthetic.
[01:25:25.564 --> 01:25:27.505]  You get forced to pretend like you're happy.
[01:25:27.825 --> 01:25:29.927]  You get forced to pretend like you're satisfied.
[01:25:30.167 --> 01:25:36.032]  You get forced to pretend like everything is fine and dandy and it's all a facade.
[01:25:36.072 --> 01:25:37.233]  It's all an act.
[01:25:40.595 --> 01:25:42.157]  Who would ever want to live like that?
[01:25:43.978 --> 01:25:45.299]  A total fraudulent world.
[01:25:46.700 --> 01:25:47.601]  Everybody faking it.
[01:25:49.730 --> 01:25:50.250]  I'm good.
