[00:00:00.000 --> 00:00:03.000]  [Buzzing]
[01:03:38.390 --> 01:03:44.413]  Dishonorable discharges and non-honorable discharges if they come back.
[01:03:44.493 --> 01:03:46.734]  I wouldn't believe that for a minute.
[01:03:46.834 --> 01:03:51.957]  And for two weeks, I've said I'm going to cover the solar flares, they say, the threat to knock out the Internet.
[01:03:51.977 --> 01:03:54.518]  But I'm going to get to it tonight.
[01:03:54.779 --> 01:03:58.020]  If the hair lips the Admiral, we are going to be breaking that down.
[01:03:58.561 --> 01:04:05.464]  Also, mysterious CEO firing at chat GPT triggers employee protest resignations even on the board.
[01:04:05.504 --> 01:04:06.505]  They're trying to bring him back.
[01:04:07.520 --> 01:04:14.428]  This is a big example of what happened with James O'Keefe with these boards and with groups that get control of companies.
[01:04:15.009 --> 01:04:18.694]  They always go after the most successful people because they're threatened by him.
[01:04:19.154 --> 01:04:22.058]  He took the company from nowhere to 80 billion dollars.
[01:04:22.799 --> 01:04:24.040]  So they fired him.
[01:04:24.821 --> 01:04:30.123]  Yep, that's how these weirdos that don't set up and run companies and create them operate and they get control of them.
[01:04:30.163 --> 01:04:33.765]  They always go after who's actually successful.
[01:04:34.345 --> 01:04:36.686]  You'd think in the real world you'd promote who's successful.
[01:04:37.026 --> 01:04:40.568]  A meritocracy, not in the new world order.
[01:04:41.068 --> 01:04:48.191]  That's just some of what's coming up on this massive Sunday live global transmission.
[01:04:49.591 --> 01:04:52.261]   There's also some Other big news.
[01:04:52.281 --> 01:04:59.285]  We're going to be getting to dealing with election fraud in the 2020 election that's now pouring out.
[01:04:59.725 --> 01:05:00.245]  Stay with us.
[01:05:00.285 --> 01:05:00.886]  We'll be right back.
[01:05:05.194 --> 01:05:24.787]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[01:05:24.887 --> 01:05:29.070]  What it does for your immune system, your body, all your cells, is miraculous.
[01:05:29.450 --> 01:05:30.971]  It's discounted at FortWorthShore.com.
[01:05:31.391 --> 01:05:32.412]  Double Patriot points.
[01:05:32.772 --> 01:05:33.453]  Free shipping.
[01:05:33.953 --> 01:05:36.235]  Biggest sale, hands down, of 2023.
[01:05:36.895 --> 01:05:39.597]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[01:05:39.637 --> 01:05:41.459]  So, Christmas has come early.
[01:05:41.519 --> 01:05:42.700]  Black Friday's come early.
[01:05:43.080 --> 01:05:44.281]  And it funds the InfoWar.
[01:05:44.421 --> 01:05:45.322]  Get X2.
[01:05:45.642 --> 01:05:47.203]  Get Vazzo Beats back in stock.
[01:05:47.503 --> 01:05:52.707]  Get all the other great products at InfoWarStore.com right now.
[01:05:52.747 --> 01:05:56.353]   But again, Our fan favorite, my favorite, is X2.
[01:05:56.814 --> 01:05:57.977]  Sold out for over a year.
[01:05:58.318 --> 01:05:59.861]  Could be our last run of our shutdown.
[01:06:00.162 --> 01:06:01.023]  Get it while you can.
[01:06:01.244 --> 01:06:01.645]  X2.
[01:06:01.765 --> 01:06:17.964]  and more. Discounted in full or store dot com.
[01:06:18.053 --> 01:06:25.053]  is 1776. You're listening to the Alex Jones Show.
[01:06:25.053 --> 01:06:47.053]  [music]
[01:06:47.053 --> 01:06:53.053]   Globalists know humanity is awake, so they're miserably robbing everything they can, even the kitchen sink.
[01:06:53.408 --> 01:06:55.789]  Again, it's Sunday, November 19, 2023.
[01:06:56.870 --> 01:07:00.953]  351 days out for the most historic election in world history.
[01:07:03.055 --> 01:07:14.790]   The Qaikom dictator, who obviously was just In San Francisco last week, trying to line up all those little ducklings to continue to carry out the deindustrialization of the United States.
[01:07:15.351 --> 01:07:25.118]  President Trump has come out against that and promised to reverse everything that they've done in the last three years if he gets back into office in a year.
[01:07:25.579 --> 01:07:30.983]  And we've got incredible news on that front that I want to dive into right now.
[01:07:32.162 --> 01:07:33.524]  NBC News poll.
[01:07:34.124 --> 01:07:38.228]  Biden's standing hits new lows amid Israel-Hamas war.
[01:07:40.391 --> 01:07:45.796]  Even in their skewed polls, he's got a 40% approval rating.
[01:07:45.816 --> 01:07:55.026]  68% of Americans in major polls, there's three of them that show the same number, are against the war that Israel's having with Hamas.
[01:07:56.218 --> 01:08:02.962]  MSNBC melts down over polls showing Trump beating Biden in 2024 by 20 points.
[01:08:03.943 --> 01:08:09.266]  Trump opens up 39-point lead over DeSantis in Florida.
[01:08:10.127 --> 01:08:19.553]  Trump wins Texas Governor Abbott's endorsement at U.S.-Mexico border as he served early Thanksgiving dinner to the troops and state police.
[01:08:19.993 --> 01:08:21.314]  Bill Maher throws in the towel.
[01:08:21.714 --> 01:08:23.095]  Biden's going to lose.
[01:08:24.318 --> 01:08:29.742]  Rogan sends The Rock backpedaling over claims he has friends who support Biden.
[01:08:29.802 --> 01:08:30.622]  Sure, name some.
[01:08:30.662 --> 01:08:31.103]  He can.
[01:08:32.564 --> 01:08:35.546]  Fox News finds out the strength of Trump.
[01:08:35.946 --> 01:08:40.969]  The town hall they did, where every supporter, everybody in the town hall was a supporter, but won.
[01:08:40.989 --> 01:08:44.352]  And it just continues on from there.
[01:08:44.852 --> 01:08:48.695]  They are totally, absolutely in full panic mode.
[01:08:49.455 --> 01:08:53.238]  Normally, if the feds indict somebody, they drop out of a race immediately.
[01:08:54.244 --> 01:09:01.769]  They threatened to indict and tried to impeach, never passed the Senate, Richard Nixon, but he still resigned.
[01:09:02.170 --> 01:09:04.991]  But everybody knows this is a discredited power structure.
[01:09:05.532 --> 01:09:07.373]  Everybody knows we have an illegitimate government.
[01:09:07.393 --> 01:09:16.299]  Everybody knows, who's got half a brain cell, that the election was stolen in 2020, and they almost completely stole it, but stole most of it in 2022.
[01:09:17.000 --> 01:09:22.664]  And the numbers are there, and the facts are there, and the majority of Americans, including Democrats, believe the election was stolen from Biden.
[01:09:23.365 --> 01:09:25.748]  The man couldn't get 20 people at a campaign event.
[01:09:25.808 --> 01:09:30.714]  Trump was having up to 100,000 at his biggest, most 20,000, even in small towns.
[01:09:32.016 --> 01:09:33.257]  Standing ovations everywhere.
[01:09:33.778 --> 01:09:36.542]  But they tell you, do not question it.
[01:09:37.603 --> 01:09:40.486]  If you question the election, you are a criminal.
[01:09:41.428 --> 01:09:44.389]  Was in more articles this weekend, including Newsweek.
[01:09:44.990 --> 01:09:47.211]  Owen Schroer in solitary confinement.
[01:09:47.691 --> 01:09:55.314]  And then it quotes the judge that he's in jail in his sentencing document for questioning the election.
[01:09:55.875 --> 01:10:14.775]   They go, oh look, here's three examples of where Before sentencing, he still is on the air, the government surveilling a radio TV show, watching a journalist, and then creating a transcript to give the judge and say, look, he still says Trump won, and the judge says, you're not sorry!
[01:10:15.636 --> 01:10:18.739]  You go to jail and you get solitary confinement.
[01:10:21.894 --> 01:10:23.075]  Yeah, well, it's just 60 days.
[01:10:23.795 --> 01:10:27.178]  It's setting the precedent, ladies and gentlemen.
[01:10:27.979 --> 01:10:32.182]  And we saw what just happened and the total panicking going on.
[01:10:32.202 --> 01:10:40.368]  We got a clip we're going to play in a moment of the Secretary of State in Colorado, another one of these Soros finance kook balls.
[01:10:41.489 --> 01:10:47.053]  And they had another one of these rigged trials where it was a judge deciding, not a jury.
[01:10:47.413 --> 01:10:57.027]   Since when In my fake trials, in Trump's New York trial, and the Colorado trial, it's judge.
[01:10:58.448 --> 01:11:04.793]  But in this case, the judge knew it would be overturned on appeal immediately, because Trump was never convicted of insurrection.
[01:11:05.233 --> 01:11:11.938]  So the judge said, well, you did do an insurrection, but under the law, I can't take you off of the ballot.
[01:11:12.638 --> 01:11:24.047]   And so, no, you're guilty, because I'm the judge, no jury, but You can stay on the ballot, and then failed in several other states to take Trump off the ballot.
[01:11:24.107 --> 01:11:35.411]  Well, what's that called when somebody who's getting 70% against all the Republican candidates in primary polls and 20 points conservatively ahead of Biden?
[01:11:35.451 --> 01:11:36.491]  That's a record level.
[01:11:37.211 --> 01:11:38.092]  That's never happened before.
[01:11:38.112 --> 01:11:42.653]  I mean, Ronald Reagan was in a dead heat with Jimmy Carter on Election Day in 1980.
[01:11:45.768 --> 01:11:49.229]  Not since polling has somebody been 20 points ahead.
[01:11:49.489 --> 01:11:55.491]  And that's when the Democrats, the polling agencies still claim, are 10 to 15 percent of a larger group.
[01:11:55.551 --> 01:11:56.751]  They see it as the dominant party.
[01:11:57.211 --> 01:12:05.093]  So they bake it in that they always add a skew in there where they, in the different methodologies, you do different things.
[01:12:05.153 --> 01:12:10.275]  But in some of the polls, they poll more registered Democrats than Republicans.
[01:12:10.795 --> 01:12:12.937]  Or in other polls, they just add 10-15 points.
[01:12:13.017 --> 01:12:15.739]  So, in the methodology, they've done that here.
[01:12:16.059 --> 01:12:18.420]  He's 20 points ahead in every damn poll.
[01:12:18.921 --> 01:12:19.741]  Some of them, 25-30.
[01:12:19.861 --> 01:12:24.785]  And Mike, I mean, this is just spectacular.
[01:12:25.946 --> 01:12:27.106]  Spectacular.
[01:12:27.847 --> 01:12:33.591]  And their answer is, we're going to indict you a bunch, and we're going to try to take you off the ballot.
[01:12:34.753 --> 01:12:42.698]  Just like they did to 15 members of Congress because they were in the Capitol on January 6th, and Republicans like MTG, Gozer, and others.
[01:12:43.278 --> 01:12:51.144]  They went around and tried to take them off the ballot because they were going to win by 60-70% of reelection, and they did despite the fraud.
[01:12:51.164 --> 01:12:55.646]  Because in the case of MTG, you get 70% of people voting for you.
[01:12:55.666 --> 01:12:57.227]  They don't have enough dead people.
[01:12:57.688 --> 01:13:01.870]  They don't have enough names of dead people and people that have moved out of district to push it over the top.
[01:13:02.231 --> 01:13:04.032]  Landslides kill fraud.
[01:13:06.684 --> 01:13:11.649]  They can't get past a landslide of more than 10 points, depending on the numbers and the experts you talk to.
[01:13:13.470 --> 01:13:19.616]  Some of the numbers show if you've got a 7% lead that's real, there's not enough fraud baked in, depending on the state to do it.
[01:13:20.136 --> 01:13:23.980]  Trump's got a 20 point mega blast!
