[00:00:12.100 --> 00:00:13.420]  It's Monday, October 9, 2023.
[01:17:23.149 --> 01:17:25.651]  Body's Ultimate Tumor Formula, finally back in stock.
[01:17:25.651 --> 01:17:27.753]  And Real Red Pill, finally back in stock.
[01:17:27.753 --> 01:17:30.896]  It's been a year since all three have been back in stock together.
[01:17:30.896 --> 01:17:32.518]  There's no excuse not to get them.
[01:17:32.518 --> 01:17:33.639]  They're so amazing together.
[01:17:33.639 --> 01:17:38.423]  40% off right now when you get all three together, or 25% off individually.
[01:17:38.423 --> 01:17:39.544]  The Trifecta Sale.
[01:17:40.385 --> 01:17:42.967]  Right now at InfoWarsTore.com.
[01:17:42.967 --> 01:17:44.528]  The only way we fail is you don't take action.
[01:17:44.528 --> 01:17:47.490]  This will enrich and empower your life, and it keeps us on the air.
[01:17:47.490 --> 01:17:50.833]  So if you want us to keep fighting in the face of these attacks, we can't do it without you.
[01:17:50.833 --> 01:17:52.474]  Plus, these are great products you need.
[01:17:52.474 --> 01:17:54.376]  That is a total win.
[01:17:54.376 --> 01:17:55.516]  A 360 win.
[01:17:55.516 --> 01:17:56.737]  The Trifecta Sale.
[01:17:56.737 --> 01:17:57.478]  Go now.
[01:17:57.478 --> 01:17:58.559]  InfoWarsTore.com.
[01:17:59.099 --> 01:18:10.666]  Naturally sourced from the finest hemp plants in America, Rebel Zen offers the absolute finest quality CBD available and at the lowest prices.
[01:18:10.666 --> 01:18:25.074]  Extracted using a cold-pressed technique to retain the molecular integrity of the cannabinoids and terpenes within the plant, this full-spectrum formula ensures that your nervous system gets the full benefits of CBD.
[01:18:26.455 --> 01:18:36.859]  Premium quality organic CBD like Rebel Zen has been shown to naturally reduce anxiety, relieve pain, and decrease inflammation.
[01:18:36.859 --> 01:18:44.962]  People have reported a reduction in symptoms of insomnia, arthritis, seizures, chronic pain, and epilepsy.
[01:18:44.962 --> 01:18:51.584]  Several studies have shown it helps to reduce cortisol, increase serotonin, and boost vitality.
[01:18:52.485 --> 01:18:56.002]  Order yours today at InfowarsStore.com
[01:18:58.584 --> 01:19:04.329]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[01:19:04.329 --> 01:19:09.153]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[01:19:09.153 --> 01:19:12.196]  I turned down so many companies that wanted to work with us.
[01:19:12.196 --> 01:19:21.784]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[01:19:21.784 --> 01:19:24.367]  It's powered by the company Minuteman Coffee.
[01:19:25.007 --> 01:19:33.531]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[01:19:33.531 --> 01:19:35.371]  It is game-changing.
[01:19:35.371 --> 01:19:37.612]  All you gotta do is buy a bag of it and try it.
[01:19:37.612 --> 01:19:40.974]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[01:19:40.974 --> 01:19:44.995]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[01:19:44.995 --> 01:19:48.457]  That's the strongest, the amazing medium-roast Wig of America.
[01:19:48.897 --> 01:19:56.400]  And finally, the best tasting Dark Roast Tip of the Spear, now exclusively available at InfoWarsTore.com.
[01:19:56.400 --> 01:20:00.041]  Get your coffee now.
[01:20:00.041 --> 01:20:05.943]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:16.278 --> 01:20:18.561]  Welcome back to the Alex Jones Show.
[01:20:18.561 --> 01:20:28.373]  I am Chase Geiser, filling in with Harrison Smith with the great Alex Jones, covering everything Israel and Palestine.
[01:20:28.373 --> 01:20:29.355]  Trump posted this morning.
[01:20:31.551 --> 01:20:41.234]  That's early before we got in the air.
[01:20:41.234 --> 01:20:43.695]  Are they planning an attack within our country?
[01:20:43.695 --> 01:20:50.476]  Crooked Joe Biden and his boss Barack Hussein Obama did this to us.
[01:20:50.476 --> 01:20:52.777]  Typical Donald Trump charm right there.
[01:20:52.777 --> 01:20:53.737]  But I think he's right.
[01:20:53.737 --> 01:20:55.458]  And I think this actually ties in a little bit to
[01:20:57.034 --> 01:20:58.375]  Diversity, equity, and inclusion.
[01:20:58.375 --> 01:20:59.115]  Right.
[01:20:59.115 --> 01:21:04.957]  Because we have this situation in which we are constantly worshipping diversity as like this idol.
[01:21:04.957 --> 01:21:14.821]  It's what makes us strong and really what's made America strong in the past has not been what's different about us so much as where we're the same.
[01:21:14.821 --> 01:21:15.141]  Yeah.
[01:21:15.141 --> 01:21:21.763]  So whether you're from Germany or Ireland or Africa or wherever you come from all over the world to immigrate to the United States, it worked when there was assimilation.
[01:21:21.763 --> 01:21:25.905]  They call it a melting pot because it blends into one thing and it's all the same.
[01:21:26.345 --> 01:21:26.645]  We're good.
[01:21:46.542 --> 01:22:03.953]  Simultaneously setting up an environment that seems intentionally designed to catalyze as much hate as possible so make them enemies and then put them as close to each other as possible so if there ever was an awakening of a sleeper cell base then there would be
[01:22:05.205 --> 01:22:09.488]  Just terror on the streets, just like similar to the George Floyd protests that we saw in the looting.
[01:22:09.488 --> 01:22:11.109]  So, I don't know, what do you think about that?
[01:22:11.109 --> 01:22:15.052]  No, there have already been clashes in New York, I think in Washington, D.C.
[01:22:15.052 --> 01:22:23.799]  I mean, there are these massive protests where you've got Israelis on one side and Palestinians on the other on American soil, fighting each other over something that's happening 3,000 miles away.
[01:22:23.799 --> 01:22:29.703]  No, we don't... Yeah, this is a lesson in the reality of so-called diversity.
[01:22:31.141 --> 01:22:39.021]  And again, what I am really concerned about is the domino effect that this could have if this isn't treated with the
[01:22:40.592 --> 01:22:46.313]  Deftness that is required to avoid this spiraling into a wider conflict.
[01:22:46.313 --> 01:22:59.797]  And the piece that the people in power recognize, but you don't see it reflected a lot in media, is Hezbollah, which is the Lebanese resistance movement, essentially is what they call themselves.
[01:22:59.797 --> 01:23:07.419]  And you see, sort of, mention after mention from people in power, Anthony Blinken, you know, came out with a statement saying,
[01:23:08.539 --> 01:23:10.701]  Oh, you better not open a second front!
[01:23:10.701 --> 01:23:14.503]  As well, don't you get involved now, you know, you're not allowed to get involved.
[01:23:14.503 --> 01:23:32.915]  Which they could, and they're the ones sort of limiting Israel going into Gaza right now, but again, and this is sort of the takeaway I get from this, this is an inflection point of the Middle East, where if Israel does not go into Gaza, that represents a power dynamic shift away from Israel towards the Arab states around them.
[01:23:32.915 --> 01:23:36.338]  In other words, Israel can no longer act with total impunity, being the big dog,
[01:23:36.898 --> 01:23:37.138]  We're good.
[01:23:56.565 --> 01:24:12.042]  Then they're opening themselves up to massive attack from Hezbollah and you saw what Hamas was able to achieve with a much smaller, much less capable force than exists in Hezbollah and it's not going to be good.
[01:24:12.042 --> 01:24:15.605]  Then Iran gets involved and again I want to remind people that we have
[01:24:16.366 --> 01:24:32.496]  American bases in the Middle East right now that are sitting ducks, and if we get involved, and we, you know, and Russia has said that if we get involved against, you know, if America gets involved against Hezbollah, they're giving the green light to Syria and Iran to attack American bases in the Middle East.
[01:24:32.496 --> 01:24:38.599]  So the question Americans have to ask ourselves is, is it worth spending the lives of American servicemen
[01:24:39.560 --> 01:24:42.122]  To basically maintain the status quo.
[01:24:42.122 --> 01:24:44.543]  And how long can that go on?
[01:24:44.543 --> 01:24:47.985]  And is the status quo even something worth defending?
[01:24:47.985 --> 01:24:57.310]  I mean, I personally don't want to spend a single life to guarantee that Gaza remain a two million person open air prison.
[01:24:57.310 --> 01:24:59.431]  I really think you've got to
[01:25:00.572 --> 01:25:02.633]  You gotta give the Palestinians rights.
[01:25:02.633 --> 01:25:04.054]  I mean, they have no rights at this point.
[01:25:04.054 --> 01:25:05.234]  They have no human rights.
[01:25:05.234 --> 01:25:07.315]  At this point, they don't even have food and water.
[01:25:07.315 --> 01:25:10.096]  In fact, maybe we should go to that clip here.
[01:25:10.096 --> 01:25:25.823]  The headline is that the Defense Secretary, the Defense Minister of Israel has ordered a total blockade of Gaza, and they are limiting, and well, I'll just go to the video.
[01:25:25.823 --> 01:25:26.304]  You'll hear it here.
[01:25:26.304 --> 01:25:26.824]  Clip number nine.
[01:25:26.824 --> 01:25:29.325]  This is the Israeli Defense Minister this morning.
[01:25:31.421 --> 01:25:36.284]  He says, we are imposing a complete siege on Gaza.
[01:25:36.284 --> 01:25:39.787]  There will be no electricity, no food, no water, no fuel.
[01:25:39.787 --> 01:25:42.169]  Everything will be closed.
[01:25:42.169 --> 01:25:45.832]  We are fighting against human animals and we are acting accordingly.
[01:25:47.097 --> 01:25:50.878]  I mean, I just, you know, God bless the Israeli people, but I'm not on that dude's side.
[01:25:50.878 --> 01:25:56.879]  I'm not on that, I'm not in favor of what that guy is just, not just suggesting, but implementing now.
[01:25:56.879 --> 01:26:02.060]  A total blockade cutting off food, water, and electricity from two million people, and they expect it to go well?
[01:26:02.060 --> 01:26:03.721]  They expect people just to die?
[01:26:03.721 --> 01:26:04.861]  Like, what?
[01:26:04.861 --> 01:26:06.281]  Right, and I appreciate your perspective.
[01:26:06.281 --> 01:26:08.562]  You see a people provoked.
[01:26:08.562 --> 01:26:09.422]  Yeah.
[01:26:09.422 --> 01:26:12.583]  But then I look at how they responded, and it was like such an overcompensation.
[01:26:12.583 --> 01:26:12.963]  Of course.
[01:26:13.959 --> 01:26:25.365]  And I think that it's something that we just tend to do as people psychologically, whether as individuals or as societies altogether, is whenever there's a problem, we tend to overcompensate for it.
[01:26:25.365 --> 01:26:27.086]  It's like getting in the shower.
[01:26:27.086 --> 01:26:35.810]  When the water's too cold, you're like, oh, I'm freezing, and you swish it, and all of a sudden you're burning, and you have to kind of go back and forth until you find that perfect temperature.
[01:26:35.810 --> 01:26:42.194]  And as much as I understand the appreciation and appreciate
