[00:00:00.209 --> 00:00:00.650]  I will.
[01:09:21.620 --> 01:09:30.665]  But this present window of opportunity, during which a truly peaceful and independent world order might be built, will not be open for long.
[01:09:31.315 --> 01:09:39.861]  Already, there are powerful forces at work that threaten to destroy all our hopes and efforts to erect an enduring structure of global interdependence.
[01:09:40.201 --> 01:09:45.165]  David Rockefeller speaking at the Business Council for the United Nations, September 14, 1994.
[01:09:45.245 --> 01:09:45.745]  The next century
[01:09:49.298 --> 01:09:52.679]  In the next century, nations as we know it will be obsolete.
[01:09:53.259 --> 01:09:56.140]  All states will recognize a single global authority.
[01:09:56.700 --> 01:10:00.101]  National sovereignty wasn't such a great idea after all.
[01:10:00.441 --> 01:10:07.123]  Scrobe Talbot, President Clinton's Deputy Secretary of State, was quoted in Time Magazine July 20th, 1992.
[01:10:09.143 --> 01:10:12.464]  We shall have world government whether you like it or not.
[01:10:13.485 --> 01:10:15.465]  By conquest or consent.
[01:10:16.125 --> 01:10:18.526]  Statement by Council on Foreign Relations member
[01:10:19.298 --> 01:10:23.480]  James Warburg to the Senate Foreign Relations Committee on February 17, 1950.
[01:10:25.981 --> 01:10:33.385]  Our task of creating a socialist America can only succeed when those who would resist us have been totally disarmed.
[01:10:34.086 --> 01:10:42.070]  Sarah Brady, Chairman of Handgun Control to Senator Howard Metzenbaum, the National Educator, January 94, page 3.
[01:10:42.250 --> 01:10:46.632]  That was set on the floor of the Senate, by the way, on C-SPAN.
[01:10:47.228 --> 01:10:58.776]  Well, we got organized as a country and we wrote a fairly radical constitution with a radical Bill of Rights giving a radical amount of individual freedom to Americans and so a lot of people say there's too much personal freedom.
[01:10:59.491 --> 01:11:02.513]  When personal freedom is being abused, you have to move to limit it.
[01:11:03.013 --> 01:11:13.520]  That's what we did in the announcement I made last weekend on the public housing projects, about how we're going to have weapon sweeps and more things like that to try to make people safer in their communities.
[01:11:13.901 --> 01:11:18.263]  President Clinton, March 22nd, 94, MTV's Enough is Enough.
[01:11:18.964 --> 01:11:23.187]  We can't be so fixated on our desire to preserve the rights of ordinary Americans.
[01:11:23.627 --> 01:11:26.509]  President Bill Clinton, USA Today, March 11th, 93, page 2A.
[01:11:28.914 --> 01:11:48.722]  The last quote I'm going to read here, whatever the price of the Chinese revolution, listen carefully, whatever the price of the Chinese revolution, it has obviously succeeded not only in producing more efficient and dedicated administration, but also in fostering high morale and community of purpose mass mind control.
[01:11:49.341 --> 01:12:01.948]  The social experiment in China under Chairman Mao's leadership is one of the most important and successful in human history, David Rockefeller's statement in 73 about Mao Zedong, New York Times, August 10, 1973.
[01:12:04.567 --> 01:12:05.847]  And this is really the last one.
[01:12:06.228 --> 01:12:20.532]  The truth of the matter is that you do have those standby provisions, and the statutory emergency plans are there, where you could, in the name of stopping terrorism, apprehend, invoke the military, and arrest Americans and hold them in detention camps, U.S.
[01:12:20.572 --> 01:12:23.632]  Representative Henry Gonzalez, August 29th, 1994.
[01:12:25.293 --> 01:12:32.755]  By the way, I have that video clip of him saying that, in Senate hearings about concentration camps,
[01:12:34.771 --> 01:12:36.152]  In the film, The Takeover.
[01:12:36.412 --> 01:12:39.793]  That's about three minutes of that two-hour, five-minute film.
[01:12:40.133 --> 01:12:41.694]  Just to give you an idea of what's in these videos.
[01:12:42.775 --> 01:12:56.321]  But think about David Rockefeller saying, for Mao's obituary, writing an obituary for his beloved Mao, who he made so much money with, that, oh, he did such a good job.
[01:12:56.521 --> 01:13:00.362]  Mao killed 50 million people.
[01:13:00.402 --> 01:13:01.783]  The Communist Chinese admit that.
[01:13:03.095 --> 01:13:04.016]  50 million!
[01:13:04.076 --> 01:13:08.138]  That is tens of millions more than Adolf Hitler.
[01:13:08.178 --> 01:13:10.179]  The highest estimates of how many people he killed.
[01:13:11.420 --> 01:13:16.282]  That's counting Jews, Germans, Russians, everybody who got killed due to Hitler's activities.
[01:13:16.983 --> 01:13:19.464]  It's conservatively 25 million or so.
[01:13:20.385 --> 01:13:25.748]  Mao kills 50 million and they just out in the open, oh Mao's so good.
[01:13:26.488 --> 01:13:30.110]  And this is who runs the Trilateral Commission, who runs the CFR.
[01:13:30.692 --> 01:13:31.853]  Okay, let's go back to calls.
[01:13:32.533 --> 01:13:36.557]  Let's talk to Howard in Missouri, then we'll go to Maggie and others.
[01:13:36.617 --> 01:13:37.357]  Howard, welcome.
[01:13:37.818 --> 01:13:38.798]  Yes, sir, Alex.
[01:13:38.978 --> 01:13:42.021]  I hope the name of Colin McMillan is never forgotten.
[01:13:42.141 --> 01:13:47.145]  It's going to be just like Vince Foster because, you know, he lived right over by Area 51 over there.
[01:13:47.165 --> 01:13:53.610]  He had several thousand acres and he was, of course, the appointee to Secretary of Navy by President Bush.
[01:13:53.730 --> 01:13:56.672]  And I just think Mr. Bush is making a big mistake by
[01:14:00.000 --> 01:14:01.302]  I don't believe he committed suicide.
[01:14:01.402 --> 01:14:08.248]  Okay, for those that aren't in your mind, that don't know what you know, that don't know what I know, give them a little background.
[01:14:08.288 --> 01:14:09.489]  Tell them what you're talking about.
[01:14:10.109 --> 01:14:19.578]  Well, of course he was appointed by President Bush and then he said he committed suicide, Mr. McMillan, and he was appointed Secretary of Navy.
[01:14:20.239 --> 01:14:29.421]  And I'll tell you the God's truth, my personal opinion, and if you look at the Secretary of the Navy now, and who's in charge of Nassau, you'll see the same family tree, and it all has to do with Fabian Socialism.
[01:14:30.261 --> 01:14:36.763]  And I think, of course, Mr. Bush is being run by the Communists, and I can tell you something else.
[01:14:37.023 --> 01:14:48.125]  I told people in Austin, Texas, they was going to kill four of Bush's people before Colin McMillan was, well, they said he committed suicide, but if you call over to the security over in Austin, Texas,
[01:14:48.905 --> 01:15:07.372]  You'll find out I told him that they were going to kill four of Bush's men and I don't know how many people they killed, you know, in Washington, D.C., but Bush is being pushed around and if he thinks that he can, you know, come up with this Mars program and just forget about Colin McMillan, then I'm not going to forget about it.
[01:15:07.392 --> 01:15:08.552]  That's all I'm going to say about it.
[01:15:08.572 --> 01:15:09.573]  Okay, thanks for the call.
[01:15:09.833 --> 01:15:16.855]  For those that just joined us, Colin McMillan, this is on the record, had had cancer.
[01:15:16.955 --> 01:15:18.196]  He had beaten the cancer.
[01:15:19.717 --> 01:15:20.898]  And he had fought it.
[01:15:22.079 --> 01:15:26.521]  And then he gets appointed the head of the Navy and then blows his head off.
[01:15:27.722 --> 01:15:29.623]  And that was last year, middle of last year.
[01:15:31.565 --> 01:15:33.426]  I don't know if that was an assassination.
[01:15:33.526 --> 01:15:34.526]  It may not have been.
[01:15:34.546 --> 01:15:37.588]  I mean, the guy on the record was a Bush minion.
[01:15:38.029 --> 01:15:39.149]  He had had cancer.
[01:15:39.189 --> 01:15:40.450]  He'd gotten cancer again.
[01:15:40.470 --> 01:15:45.113]  So that points towards the fact that he really could have committed suicide.
[01:15:46.013 --> 01:16:02.284]  Now, when you get somebody like Mr. Baxter, who blows his head off in his underwear two blocks from his house, and had just bought a new boat, a new mortgage on a house, and was about to testify against Enron executives, that looks like murder.
[01:16:02.865 --> 01:16:10.630]  The head, Arthur Anderson, accountant, his decomposing body was found three weeks dead outside Denver,
[01:16:11.626 --> 01:16:15.790]  In the woods, in his car, he shot himself in the head, supposedly.
[01:16:16.190 --> 01:16:20.053]  That, again, looks like a murder.
[01:16:20.994 --> 01:16:24.497]  We know that the woman who was suing Bush, claiming that he had raped her.
[01:16:25.317 --> 01:16:28.740]  I read the news articles, there have been just a few mainstream articles.
[01:16:29.201 --> 01:16:30.702]  I said, I don't know if that's true or not.
[01:16:31.362 --> 01:16:33.224]  Then she shot herself twice in the head.
[01:16:34.517 --> 01:16:35.718]  So that adds credibility.
[01:16:35.738 --> 01:16:36.918]  She might have been telling the truth.
[01:16:37.378 --> 01:16:38.619]  Or she could have committed suicide.
[01:16:38.639 --> 01:16:44.301]  But when you start seeing a pattern of this, it leans towards political assassination.
[01:16:45.322 --> 01:16:53.425]  But look, the Bush administration has no need to get rid of their own people because most of them are on board.
[01:16:54.505 --> 01:17:00.488]  O'Neal, for some reason, was a little more big government style and didn't want to cut taxes.
[01:17:01.948 --> 01:17:04.811]  If you're going to cut taxes, you have to cut government programs.
[01:17:05.851 --> 01:17:16.340]  And there was some fighting between O'Neal and Bush, and now O'Neal is out there speaking out against Bush while trying to spin it that he isn't, more double speak.
[01:17:16.440 --> 01:17:20.163]  But again, I don't like to speculate.
[01:17:20.663 --> 01:17:25.807]  I just don't like to speculate, and I don't know if they murdered the Secretary of the Navy.
[01:17:26.327 --> 01:17:27.729]  He was becoming the Secretary of the Navy.
[01:17:28.129 --> 01:17:29.530]  I know Clinton did have.
[01:17:30.467 --> 01:17:33.830]  Uh, some admirals taken out, or at least those behind Clinton did.
[01:17:34.050 --> 01:17:39.875]  There were clearly some murders of high-level military officials, uh, in the first few years of the Clinton White House.
[01:17:41.136 --> 01:17:49.183]  Uh, especially when Clinton started coming out with, uh, his, uh, new presidential decision directives, uh, to have the nuclear forces stand down.
[01:17:49.984 --> 01:17:54.047]  Uh, there were quite a few, uh, officers, uh, died suddenly when that was announced.
[01:17:54.588 --> 01:17:55.949]  I guess they weren't gonna go along with it.
[01:17:57.095 --> 01:17:58.917]  Let's talk to Maggie in Texas.
[01:17:58.977 --> 01:17:59.917]  Maggie, you're on the air.
[01:17:59.957 --> 01:18:00.277]  Welcome.
[01:18:00.898 --> 01:18:02.079]  Hi Alex.
[01:18:02.519 --> 01:18:07.022]  Your earlier mention of offshore call centers reminded me of this.
[01:18:08.003 --> 01:18:22.633]  About two or three months ago, no more, there was a little item very briefly in the news about how Dell Computer was pulling back a few hundred of its jobs in Bangalore to the United States because of
[01:18:23.536 --> 01:18:24.557]  We're good to go.
[01:18:52.099 --> 01:18:54.502]  Texas, Tennessee, and I think it was Idaho.
[01:19:08.423 --> 01:19:15.868]  Uh, you're talking to someone in India, and yeah, they teach them how to not have a thick accent just with certain terms and phrases.
[01:19:16.268 --> 01:19:18.110]  They don't even know what you're talking about.
[01:19:18.430 --> 01:19:23.474]  I've called customer service issues before, and I began screaming at them saying, get me an American.
[01:19:24.074 --> 01:19:25.975]  And yeah, it's always somebody from India.
[01:19:25.995 --> 01:19:27.516]  They don't know what they're talking about.
[01:19:27.957 --> 01:19:29.278]  And we should all complain.
[01:19:29.598 --> 01:19:32.319]  We should all say, I'm sending this computer back.
[01:19:32.400 --> 01:19:33.800]  I'm sending this telephone back.
[01:19:33.860 --> 01:19:35.682]  I'm sending back this piece of equipment.
[01:19:36.042 --> 01:19:38.463]  If you don't give me an American right now!
[01:19:39.964 --> 01:19:42.046]  Alex, my further question... Stay there.
[01:19:42.166 --> 01:19:43.006]  Stay there, Maggie.
[01:19:43.607 --> 01:19:44.627]  I want to finish up with you.
[01:19:44.787 --> 01:19:45.768]  You're making some good points.
