[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[01:01:47.494 --> 01:01:54.079]  But with all these sitcoms and things like this showing weak father figures... And it's always Fox is the worst!
[01:01:54.079 --> 01:01:55.561]  The father is always bad!
[01:01:55.561 --> 01:01:58.723]  But they're Christian and conservative!
[01:01:58.723 --> 01:01:59.684]  Exactly.
[01:01:59.684 --> 01:02:04.948]  So, I mean, they show these weak father figures and it only encourages fathers to become, you know, more...
[01:02:05.749 --> 01:02:11.536]  You know, lethargic and just drink beer on weekends and not even try to relate to their own kids.
[01:02:11.536 --> 01:02:15.941]  And it's a vicious circle because then the kids don't have any respect and they misbehave.
[01:02:15.941 --> 01:02:22.548]  It's a real pleasure to raise your children and to raise them up strong and enlightened and informed.
[01:02:23.508 --> 01:02:26.069]  And the way to get rid of your children, folks, is to explain to them.
[01:02:26.069 --> 01:02:28.291]  This government wants to put you in a prison camp.
[01:02:28.291 --> 01:02:29.691]  They want to put you on drugs.
[01:02:29.691 --> 01:02:30.912]  They are the enemy.
[01:02:30.912 --> 01:02:31.992]  They are out to get you.
[01:02:31.992 --> 01:02:33.033]  They are predators.
[01:02:33.033 --> 01:02:38.816]  Because children are designed to be warned about predators from our most early development.
[01:02:38.816 --> 01:02:40.517]  And you've got to teach them.
[01:02:40.517 --> 01:02:42.798]  And if you teach a child that, they're going to behave.
[01:02:44.713 --> 01:02:50.056]  That's just like you teach a child with fables like Little Red Riding Hood about the Big Bad Wolf.
[01:02:50.056 --> 01:02:52.277]  That's a story to warn you about.
[01:02:52.277 --> 01:02:53.778]  Don't talk to strangers.
[01:02:53.778 --> 01:03:02.462]  You've got to teach children that this government is your enemy, is out to get you, and is out to drug you and destroy you.
[01:03:02.462 --> 01:03:04.103]  And that goes for cops.
[01:03:04.103 --> 01:03:06.444]  You know, you need to train your children this.
[01:03:06.444 --> 01:03:08.725]  Cops, they'll put your children in the system.
[01:03:08.725 --> 01:03:09.806]  This goes for everybody.
[01:03:10.644 --> 01:03:12.004]  The system is your enemy.
[01:03:12.004 --> 01:03:17.026]  That doesn't mean everybody in the system is your enemy, but the prime directives are predatory.
[01:03:17.026 --> 01:03:18.506]  Paul?
[01:03:18.506 --> 01:03:32.650]  Well, that's the case, and it's amazing how many children, and then people right up to, you know, my age, go around thinking that doing drugs is so cool, completely oblivious, that the government ships them in in the large majority of cases.
[01:03:32.650 --> 01:03:34.911]  Um, cocaine's been proven to be good in operation.
[01:03:34.911 --> 01:03:35.571]  I'll tell you what's cool.
[01:03:36.011 --> 01:03:38.772]  Doing 100 push-ups every morning, which I'm trying to start doing again.
[01:03:38.772 --> 01:03:39.612]  I'm getting back in shape.
[01:03:39.612 --> 01:03:40.853]  It feels good.
[01:03:40.853 --> 01:03:43.294]  Riding your bike, you know, 15-20 miles.
[01:03:43.294 --> 01:03:44.694]  Jogging.
[01:03:44.694 --> 01:03:47.635]  Reading, you know, 20 books to your children.
[01:03:47.635 --> 01:03:49.176]  Finding a good church.
[01:03:49.176 --> 01:03:50.196]  Being strong.
[01:03:50.196 --> 01:03:51.337]  Trying to eat good food.
[01:03:51.337 --> 01:03:53.057]  Trying to be healthy.
[01:03:53.057 --> 01:03:57.619]  I'll tell you what's rebellious is being straight and strong and loving your woman.
[01:03:57.619 --> 01:03:58.839]  Loving your man.
[01:03:58.839 --> 01:04:00.880]  Not fighting with each other, men and women.
[01:04:00.880 --> 01:04:03.501]  The whole society's been designed to turn you against each other.
[01:04:03.501 --> 01:04:04.522]  That's what's cool!
[01:04:04.522 --> 01:04:05.462]  That's what's rebellious!
[01:04:06.909 --> 01:04:12.671]  Exactly, but I mean the peer pressure is so strong because peer pressure comes from culture and who creates the culture?
[01:04:12.671 --> 01:04:16.192]  MTV and Sumner Redstone and people like this.
[01:04:16.192 --> 01:04:20.873]  So I mean that's why a lot of people homeschool and then it gets demonized as terrorism.
[01:04:20.873 --> 01:04:23.014]  I've said this 50 times and I'll say it again.
[01:04:23.014 --> 01:04:28.295]  I want you to picture a elementary school.
[01:04:28.295 --> 01:04:30.816]  200 students out in the big parking lot.
[01:04:30.816 --> 01:04:31.656]  Big school.
[01:04:31.656 --> 01:04:33.117]  Northern Michigan.
[01:04:33.117 --> 01:04:34.357]  I want you to picture
[01:04:35.271 --> 01:04:44.596]  Regional SWAT teams, over four SWAT teams, black masks, fake blood, fake arms, fake intestines, splattered in buckets on the children.
[01:04:44.596 --> 01:04:47.357]  Buses, smoke bombs in the buses.
[01:04:47.357 --> 01:04:54.901]  The children with grown men running around with submachine guns screaming, I am the homeschool defense group.
[01:04:54.901 --> 01:04:57.082]  We are homeschoolers against public education.
[01:04:57.082 --> 01:04:58.823]  We are killing you.
[01:04:58.823 --> 01:05:00.824]  Ha ha ha.
[01:05:00.824 --> 01:05:01.904]  Seven-year-olds.
[01:05:01.904 --> 01:05:03.025]  This was on the Associated Press.
[01:05:03.025 --> 01:05:03.825]  Like, it was normal, though.
[01:05:04.389 --> 01:05:05.510]  They were saying it was good.
[01:05:05.510 --> 01:05:06.210]  Crying.
[01:05:06.210 --> 01:05:08.011]  Saying, help me, help me.
[01:05:08.011 --> 01:05:10.053]  Fake blood splattered everywhere.
[01:05:10.053 --> 01:05:12.134]  This was done all over the country.
[01:05:12.134 --> 01:05:13.034]  Similar drills.
[01:05:13.034 --> 01:05:13.635]  I've been to them.
[01:05:13.635 --> 01:05:14.515]  I've shot video of them.
[01:05:14.515 --> 01:05:15.896]  It's in Road to Tyranny.
[01:05:15.896 --> 01:05:18.938]  They even blew up cars in Central Texas.
[01:05:18.938 --> 01:05:19.779]  Cars smoking.
[01:05:19.779 --> 01:05:20.439]  Helicopters.
[01:05:20.439 --> 01:05:21.239]  Fake intestines.
[01:05:21.239 --> 01:05:22.300]  Blood splattered.
[01:05:22.300 --> 01:05:23.521]  Robots with shotguns.
[01:05:23.521 --> 01:05:25.022]  Special Forces troops.
[01:05:25.022 --> 01:05:26.022]  You think I'm joking, folks?
[01:05:26.022 --> 01:05:27.343]  Robots with shotguns.
[01:05:27.343 --> 01:05:28.304]  You've got to see this video.
[01:05:29.791 --> 01:05:31.412]  This is mass brainwashing!
[01:05:31.412 --> 01:05:38.733]  You think putting people in a sports stadium with projectors, you know, telling you communism is good as brainwashing, that is.
[01:05:38.733 --> 01:05:57.278]  But you think about the mind control, the sheer evil 1984 brainwashing of elementary students splattered with fake intestines and gallons of fake blood being told homeschoolers are going to kill you, that child's going to hate homeschoolers for the rest of their life, they're going to have nightmares about homeschoolers,
[01:05:57.458 --> 01:06:00.080]  But homeschoolers have never done anything to anybody!
[01:06:00.080 --> 01:06:02.021]  Go ahead, Paul.
[01:06:02.021 --> 01:06:08.886]  Yeah, wasn't it the case with the FBI flyer in Phoenix, Arizona, just after 9-11?
[01:06:08.886 --> 01:06:10.247]  Those that make frequent references to the U.S.
[01:06:10.247 --> 01:06:11.428]  Constitution are terrorists.
[01:06:11.428 --> 01:06:12.389]  Christians are terrorists.
[01:06:12.389 --> 01:06:14.050]  Gun owners are terrorists.
[01:06:14.050 --> 01:06:15.411]  Paul, go ahead, I'm sorry.
[01:06:15.411 --> 01:06:19.874]  Yeah, low on individuals, and I believe it also included homeschoolers.
[01:06:19.874 --> 01:06:24.197]  So, I mean... Project Nikito lists homeschoolers as terrorists.
[01:06:25.737 --> 01:06:26.979]  Those are the targets.
[01:06:26.979 --> 01:06:29.441]  That's who the bore on Teva is really on, homeschooling.
[01:06:29.441 --> 01:06:36.510]  And now the feds are trying to ban homeschoolers from being in spelling bees and geography bees, because they're winning them all!
[01:06:36.510 --> 01:06:39.393]  No, it's completely betrayed, you know, public schooling.
[01:06:39.393 --> 01:06:45.300]  The fact that homeschoolers are not only more straight, more moral, more successful later in life, but they're more intelligent.
[01:06:45.911 --> 01:06:50.573]  Because they don't have all these peer pressure and distractions which drag them back all the time.
[01:06:50.573 --> 01:06:54.574]  Paul, if I sound really mad today, it's because of all these hit pieces and the rest of it.
[01:06:54.574 --> 01:06:58.756]  If I sound upset, folks, you get upset about football and baseball and yell and scream.
[01:06:58.756 --> 01:06:59.536]  I am upset!
[01:06:59.536 --> 01:07:03.918]  I mean, cameras in little girls' showers at public schools?
[01:07:03.918 --> 01:07:11.241]  Children on Ritalin having heart enlargement and brain shrinkage and heart attacks all over the country?
[01:07:11.241 --> 01:07:12.661]  Five-year-olds being arrested?
[01:07:12.661 --> 01:07:13.982]  I mean, folks,
[01:07:15.229 --> 01:07:16.850]  This is insane!
[01:07:16.850 --> 01:07:21.873]  This is a normal response to this insanity!
[01:07:21.873 --> 01:07:22.893]  Paul, let's shift gears quickly.
[01:07:22.893 --> 01:07:28.556]  We've got about four minutes of this segment, five minutes of the next, and the guests who are joining us, I want you to be with us for the little while waiting.
[01:07:28.556 --> 01:07:32.158]  But let's start with the New American hit piece first.
[01:07:32.158 --> 01:07:37.321]  The neocon, New American, fake conservative, fake anti-New World Order.
[01:07:37.321 --> 01:07:38.762]  Let's start with that first.
[01:07:40.134 --> 01:07:49.743]  Well, basically, it's a rehash of the Ben Chertoff, Oman security, popular mechanic, strawman hit piece.
[01:07:49.743 --> 01:08:03.595]  It's not weaker, because they, with the situation, basically, they attack people who talk about pods on the bottom of Flight 175, talk about no plane hitting the Pentagon, which we have tried to be balanced on.
[01:08:03.595 --> 01:08:06.117]  We've presented arguments from both sides.
[01:08:06.747 --> 01:08:14.551]  But then later on in the article, they start attacking people who say that bombs were used in the World Trade Center attack.
[01:08:14.551 --> 01:08:19.073]  And they mention Alex Jones and PrisonPlanet.com, as well as others.
[01:08:19.073 --> 01:08:22.115]  But, I mean, Larry Silverstein says they blew it up!
[01:08:22.115 --> 01:08:24.916]  The AP was told, get back, we're going to blow the building up!
[01:08:24.916 --> 01:08:25.997]  I mean, do they talk about that?
[01:08:27.094 --> 01:08:34.155]  No, the foundation of it is, as popular mechanics use, they use an article written for us by someone else.
[01:08:34.155 --> 01:08:37.516]  And Jasper will not come on this show and debate us!
[01:08:37.516 --> 01:08:39.597]  They will never debate us!
[01:08:39.597 --> 01:08:40.597]  Because they can't!
[01:08:40.597 --> 01:08:44.317]  We will play public official saying they blew it up!
[01:08:44.317 --> 01:08:45.198]  Sorry, go ahead.
[01:08:45.198 --> 01:08:47.378]  They don't use a firefighter's testimony.
[01:08:47.378 --> 01:08:50.559]  They don't use Silverstein admitting 7 was pulled.
[01:08:50.559 --> 01:08:56.640]  They don't use a seismograph for people in the towers, people on the ground, or which has been on our website for over 3 years.
[01:08:57.632 --> 01:09:03.313]  And they need to keep up with government cover stories because they're behind the times on this one.
[01:09:03.313 --> 01:09:17.377]  They rehashed these engineers' comments, the same ones that Popular Mechanics used, where they said they knew the planes alone would be enough to tear us down, which goes against every historical example of a steel building catching on fire.
[01:09:18.166 --> 01:09:24.248]  When even the government, in the latest federal report, concludes that the planes were not the cause of the collapse.
[01:09:24.248 --> 01:09:26.548]  The buildings were not built properly.
[01:09:26.548 --> 01:09:30.469]  Yeah, they blamed faulty fireproofing, which is obviously another story.
[01:09:30.469 --> 01:09:32.830]  That is the new official FEMA line.
[01:09:32.830 --> 01:09:35.250]  So, we've had four different lines here, Paul.
[01:09:35.250 --> 01:09:36.330]  Which one's right?
[01:09:36.330 --> 01:09:38.231]  Which conspiracy theory is right?
[01:09:38.231 --> 01:09:42.252]  When we had the owner saying he blew it up!
[01:09:42.904 --> 01:09:52.808]  Well the point is, now look, even the government admits that the planes weren't the cause and New American Popular Mechanics are still reporting that they were, so they're behind on the government cover stories.
[01:09:52.808 --> 01:09:58.270]  And then we had that New York Times article from the 70s where they had a fire in the North Tower of the World Trade Center.
[01:09:58.810 --> 01:10:04.056]  So, you know, any faulty fireproofing would have been clearly evident and taken care of back then.
[01:10:04.056 --> 01:10:04.636]  Remember what?
[01:10:04.636 --> 01:10:16.629]  Fireproofing wasn't, even though they had asbestos fireproofing on the pillars, still, those cool fires don't melt or destroy giant four foot around, six foot around girders.
